logFC	logCPM	F	PValue	status
SIN3A@12710	 1.047e+01	 3.959210	9.891e+00	0.0080497	test
SIN3A@07871	 2.642e+00	 7.758991	9.605e+00	0.0081109	test
SIN3A@02224	 5.743e+00	 4.786522	9.525e+00	0.0082518	test
SIN3A@07887	 7.461e+00	 5.437055	9.493e+00	0.0084039	test
SIN3A@04556	 9.669e+00	 5.822152	9.444e+00	0.0085365	test
SIN3A@07486	 5.877e+00	 4.997639	9.433e+00	0.0085666	test
SIN3A@07561	 7.795e+00	 5.679685	9.380e+00	0.0087114	test
SIN3A@08082	-6.009e+00	 2.969273	9.310e+00	0.0088683	test
SIN3A@01079	 5.671e+00	 6.493338	9.276e+00	0.0090074	test
SIN3A@14467	 3.934e+00	 7.924251	9.221e+00	0.0091685	mCherry
SIN3A@06464	 4.666e+00	 5.717005	9.220e+00	0.0091723	test
SIN3A@13194	 6.021e+00	 5.790955	9.209e+00	0.0092042	test
SIN3A@07901	 2.760e+00	 7.584102	9.173e+00	0.0093126	test
SIN3A@11055	 6.467e+00	 4.761760	9.153e+00	0.0093727	test
SIN3A@00471	 4.760e+00	 5.585412	9.145e+00	0.0093969	test
SIN3A@04817	 3.686e+00	 6.764077	9.112e+00	0.0094984	test
SIN3A@14469	 3.814e+00	11.412472	9.105e+00	0.0095176	mCherry
SIN3A@01297	 5.704e+00	 4.527940	9.054e+00	0.0095524	test
SIN3A@04948	 8.559e+00	 5.892373	9.087e+00	0.0095735	test
SIN3A@05510	 3.683e+00	 6.288662	9.087e+00	0.0095743	test
SIN3A@08092	 1.107e+01	 4.556212	9.309e+00	0.0096187	test
SIN3A@01579	-5.624e+00	 3.315738	9.041e+00	0.0096494	test
SIN3A@00042	 3.994e+00	 5.861683	9.005e+00	0.0097707	test
SIN3A@14006	-4.646e+00	 3.911931	8.985e+00	0.0097723	test
SIN3A@01074	-5.451e+00	 3.310405	8.984e+00	0.0097752	test
SIN3A@03299	 4.176e+00	 6.437278	9.004e+00	0.0098356	test
SIN3A@08237	 6.576e+00	 4.724349	9.002e+00	0.0098413	test
SIN3A@01702	 1.134e+01	 4.822701	9.202e+00	0.0099430	test
SIN3A@08939	-4.481e+00	 4.844324	8.958e+00	0.0099861	test
SIN3A@10587	 6.033e+00	 5.643605	8.951e+00	0.0100062	test
SIN3A@04432	 5.960e+00	 6.274184	8.817e+00	0.0104587	test
SIN3A@07373	-5.446e+00	 3.130655	8.777e+00	0.0104668	test
SIN3A@08034	 2.805e+00	 8.170692	8.728e+00	0.0107706	test
SIN3A@00044	 6.167e+00	 4.719088	8.707e+00	0.0108454	test
SIN3A@04730	 5.670e+00	 5.419628	8.698e+00	0.0108773	test
SIN3A@05038	 1.007e+01	 4.784182	8.681e+00	0.0109395	test
SIN3A@12995	 1.042e+01	 3.915573	8.895e+00	0.0109550	test
