logFC	logCPM	F	PValue	status
SIN3A@06915	 4.344e+00	 6.685515	9.185e+00	1.325e-02	test
SIN3A@07468	 7.300e+00	 4.439478	9.146e+00	1.335e-02	test
SIN3A@10743	-1.052e+01	 4.770474	9.144e+00	1.340e-02	test
SIN3A@08055	 5.505e+00	 5.956521	9.115e+00	1.351e-02	test
SIN3A@11360	 6.358e+00	 5.229526	8.994e+00	1.397e-02	test
SIN3A@01622	 7.943e+00	 5.403001	8.972e+00	1.406e-02	test
SIN3A@05624	-4.670e+00	 5.266114	8.905e+00	1.407e-02	test
SIN3A@05323	 3.913e+00	 6.456018	8.935e+00	1.420e-02	test
SIN3A@02552	 4.207e+00	 6.537369	8.899e+00	1.435e-02	test
SIN3A@05401	-3.811e+00	 6.135842	8.859e+00	1.446e-02	test
SIN3A@12090	-4.469e+00	 5.446962	8.790e+00	1.453e-02	test
SIN3A@11624	-4.048e+00	 5.678879	8.763e+00	1.464e-02	test
SIN3A@05510	 3.711e+00	 6.041437	8.740e+00	1.474e-02	test
SIN3A@02293	 8.861e+00	 4.319267	8.788e+00	1.480e-02	test
SIN3A@11112	 8.121e+00	 4.445644	8.768e+00	1.488e-02	test
SIN3A@04971	 6.854e+00	 5.183095	8.737e+00	1.502e-02	test
SIN3A@06926	 1.030e+01	 3.280276	9.089e+00	1.505e-02	test
SIN3A@04730	 5.589e+00	 5.025847	8.727e+00	1.506e-02	test
SIN3A@08180	 1.643e+00	 8.767950	8.712e+00	1.512e-02	test
SIN3A@07921	 2.370e+00	 7.622404	8.681e+00	1.526e-02	test
SIN3A@07968	 3.998e+00	 5.766541	8.589e+00	1.539e-02	test
SIN3A@14349	-2.369e+00	 7.450040	8.634e+00	1.546e-02	negative
SIN3A@03455	 4.100e+00	 6.183438	8.614e+00	1.555e-02	test
SIN3A@08338	 5.274e+00	 5.587313	8.607e+00	1.558e-02	test
SIN3A@08118	 1.021e+01	 3.185593	8.951e+00	1.561e-02	test
SIN3A@07815	 2.277e+00	 7.528010	8.576e+00	1.567e-02	test
SIN3A@11668	-4.048e+00	 5.885824	8.565e+00	1.577e-02	test
SIN3A@07870	 6.339e+00	 4.676443	8.548e+00	1.585e-02	test
SIN3A@07843	 3.417e+00	 7.874034	8.522e+00	1.597e-02	test
SIN3A@08028	 3.644e+00	 7.276803	8.472e+00	1.620e-02	test
SIN3A@12620	 5.771e+00	 5.560909	8.420e+00	1.644e-02	test
SIN3A@07957	 2.523e+00	 7.485573	8.379e+00	1.664e-02	test
SIN3A@07925	 4.003e+00	 6.832090	8.372e+00	1.668e-02	test
SIN3A@11450	 4.961e+00	 4.993475	8.301e+00	1.674e-02	test
SIN3A@05445	 2.776e+00	 6.900144	8.293e+00	1.678e-02	test
SIN3A@09737	 8.112e+00	 4.437464	8.344e+00	1.681e-02	test
SIN3A@02205	-1.002e+01	 4.285384	8.338e+00	1.684e-02	test
SIN3A@07952	 3.989e+00	 5.945737	8.314e+00	1.696e-02	test
SIN3A@03947	 6.137e+00	 4.479560	8.248e+00	1.700e-02	test
SIN3A@03568	 3.230e+00	 6.997250	8.286e+00	1.710e-02	test
SIN3A@13092	 8.427e+00	 4.516046	8.269e+00	1.718e-02	test
SIN3A@02186	 4.111e+00	 5.538169	8.162e+00	1.744e-02	test
SIN3A@06980	 1.655e+00	 9.114177	8.186e+00	1.761e-02	test
SIN3A@12547	-3.725e+00	 5.982398	8.142e+00	1.768e-02	test
SIN3A@07834	 3.233e+00	 7.276279	8.159e+00	1.775e-02	test
SIN3A@06666	 3.974e+00	 6.437238	8.117e+00	1.797e-02	test
SIN3A@03116	 6.751e+00	 5.026978	8.112e+00	1.799e-02	test
SIN3A@10095	 7.464e+00	 6.972839	8.091e+00	1.811e-02	test
SIN3A@03311	 5.861e+00	 4.628325	8.014e+00	1.823e-02	test
SIN3A@08191	 2.652e+00	 7.064317	7.947e+00	1.884e-02	test
SIN3A@03072	 1.022e+01	 3.200195	8.324e+00	1.889e-02	test
SIN3A@14348	 4.022e+00	 6.750564	7.948e+00	1.889e-02	negative
SIN3A@03981	 5.057e+00	 5.813417	7.945e+00	1.891e-02	test
SIN3A@07142	 3.641e+00	 7.153735	7.935e+00	1.897e-02	test
SIN3A@10587	 5.926e+00	 5.221575	7.933e+00	1.898e-02	test
SIN3A@12971	 3.906e+00	 5.875310	7.924e+00	1.903e-02	test
SIN3A@13028	-3.395e+00	 6.039247	7.847e+00	1.917e-02	test
SIN3A@06093	 5.751e+00	 5.540366	7.887e+00	1.924e-02	test
SIN3A@08127	 1.827e+00	 8.569565	7.856e+00	1.942e-02	test
SIN3A@10952	 5.767e+00	 7.275207	7.845e+00	1.948e-02	test
SIN3A@02323	 5.042e+00	 5.104734	7.825e+00	1.960e-02	test
SIN3A@07797	 2.571e+00	 7.343333	7.822e+00	1.962e-02	test
SIN3A@08105	 8.373e+00	 3.836583	7.814e+00	1.967e-02	test
SIN3A@01388	 5.805e+00	 5.261790	7.814e+00	1.967e-02	test
SIN3A@07802	 2.506e+00	 7.229115	7.812e+00	1.968e-02	test
SIN3A@11299	 6.043e+00	 4.632814	7.810e+00	1.969e-02	test
SIN3A@13640	 4.233e+00	 6.241687	7.794e+00	1.979e-02	test
SIN3A@09576	 3.839e+00	 7.213659	7.787e+00	1.983e-02	test
SIN3A@04432	 5.968e+00	 5.966242	7.775e+00	1.990e-02	test
SIN3A@00679	 4.811e+00	 6.350572	7.772e+00	1.992e-02	test
SIN3A@08972	 4.924e+00	 5.079894	7.765e+00	1.995e-02	test
SIN3A@08169	 2.923e+00	 7.750432	7.751e+00	2.004e-02	test
SIN3A@00618	 3.917e+00	 6.854264	7.749e+00	2.006e-02	test
SIN3A@06375	 3.442e+00	 7.105353	7.744e+00	2.008e-02	test
SIN3A@08560	 1.053e+01	 3.501704	8.093e+00	2.014e-02	test
SIN3A@07377	 3.597e+00	 6.810471	7.735e+00	2.014e-02	test
SIN3A@08092	 1.095e+01	 3.913230	8.081e+00	2.021e-02	test
SIN3A@03159	 7.418e+00	 4.672003	7.699e+00	2.036e-02	test
SIN3A@07822	 2.860e+00	 7.478695	7.666e+00	2.057e-02	test
SIN3A@01544	 3.814e+00	 6.187608	7.663e+00	2.059e-02	test
SIN3A@10507	-9.032e+00	 3.318632	7.579e+00	2.081e-02	test
SIN3A@01536	-6.532e+00	 4.439883	7.626e+00	2.082e-02	test
SIN3A@06726	-4.650e+00	 5.233453	7.603e+00	2.097e-02	test
SIN3A@10635	-2.394e+00	 7.171976	7.532e+00	2.111e-02	test
SIN3A@07926	 2.392e+00	 7.426090	7.562e+00	2.123e-02	test
SIN3A@08178	 2.506e+00	 7.679651	7.528e+00	2.146e-02	test
SIN3A@06335	-5.409e+00	 5.021791	7.504e+00	2.161e-02	test
SIN3A@07959	 3.811e+00	 5.880923	7.494e+00	2.168e-02	test
