oligo	XR029	XR030	XR031	XR032	XR034	XR035	XR036	XR037	group
SIN3A@00109	1335	1978	218	21	837	1230	1512	512	test
SIN3A@00110	254	265	91	16	76	1502	1400	695	test
SIN3A@00111	815	380	38	38	859	916	238	393	test
SIN3A@00112	1619	2026	1308	927	1102	427	913	1952	test
SIN3A@00113	620	610	22	4	50	794	739	154	test
SIN3A@00114	0	0	0	0	0	3	0	0	test
SIN3A@00115	600	657	73	29	456	416	204	430	test
SIN3A@00116	335	538	28	49	344	30	3	70	test
SIN3A@00117	143	124	15	4	78	7	443	69	test
SIN3A@00118	1	290	35	29	380	485	7	113	test
SIN3A@00119	468	582	367	309	391	647	46	53	test
SIN3A@00120	311	543	18	15	396	236	592	293	test
SIN3A@00121	1	1	0	0	72	764	562	198	test
SIN3A@00122	129	585	105	33	541	1273	1456	626	test
SIN3A@00123	385	607	301	36	153	1117	160	752	test
SIN3A@00124	198	654	20	28	222	1190	196	51	test
SIN3A@00125	2587	2985	494	435	2146	1430	1350	1916	test
SIN3A@00126	1349	1995	493	172	809	1455	284	1166	test
SIN3A@00127	580	803	432	10	522	571	7	37	test
SIN3A@00128	214	888	426	61	373	285	216	273	test
SIN3A@00129	0	0	0	0	1	3	1	0	test
SIN3A@00130	470	1037	161	47	1375	918	1507	1453	test
SIN3A@00131	1499	1493	210	55	749	3825	3290	2853	test
SIN3A@00132	0	3	3	56	415	1862	955	42	test
SIN3A@00133	1365	1501	909	778	1201	723	400	95	test
SIN3A@00134	433	879	234	21	11	491	223	388	test
SIN3A@00135	880	1673	720	406	436	773	351	235	test
SIN3A@00136	813	714	346	395	653	207	27	196	test
SIN3A@00137	342	24	10	24	537	587	4	6	test
SIN3A@00138	510	1710	181	39	102	350	980	295	test
SIN3A@00139	589	87	28	10	478	387	1464	1089	test
SIN3A@00140	1564	1412	680	633	1733	3320	901	142	test
SIN3A@00141	0	0	0	0	0	0	1	3	test
SIN3A@00142	949	241	661	412	757	262	909	451	test
SIN3A@00143	7	134	93	3	3	0	0	0	test
SIN3A@00144	0	0	0	0	3	1	0	0	test
