logFC	logCPM	F	PValue	status
SIN3A@11667	-4.026e+00	 5.899916	9.948e+00	0.012964	test
SIN3A@06211	 4.456e+00	 6.112764	1.004e+01	0.013046	test
SIN3A@12322	-4.427e+00	 5.784008	9.880e+00	0.013333	test
SIN3A@08998	 6.390e+00	 6.034630	9.925e+00	0.013415	test
SIN3A@06597	 5.821e+00	 5.676350	9.918e+00	0.013440	test
SIN3A@13440	 4.755e+00	 6.710731	9.901e+00	0.013495	test
SIN3A@04971	 6.599e+00	 4.942640	9.889e+00	0.013532	test
SIN3A@01694	 6.268e+00	 5.726593	9.870e+00	0.013595	test
SIN3A@04817	 4.094e+00	 6.883228	9.869e+00	0.013597	test
SIN3A@14462	 4.953e+00	 9.517531	9.846e+00	0.013675	GFP
SIN3A@10264	 6.820e+00	 5.362228	9.827e+00	0.013738	test
SIN3A@09150	 4.170e+00	 6.115166	9.822e+00	0.013753	test
SIN3A@02917	 4.613e+00	 6.461764	9.807e+00	0.013803	test
SIN3A@07870	 7.209e+00	 5.544237	9.789e+00	0.013866	test
SIN3A@07667	 4.011e+00	 6.644340	9.689e+00	0.014208	test
SIN3A@08019	 4.441e+00	 6.321663	9.662e+00	0.014302	test
SIN3A@09667	 8.982e+00	 3.314593	9.486e+00	0.014531	test
SIN3A@00292	-6.548e+00	 4.492075	9.531e+00	0.014540	test
SIN3A@00175	 7.090e+00	 5.580617	9.536e+00	0.014752	test
SIN3A@02855	 1.050e+01	 3.472681	1.025e+01	0.014801	test
SIN3A@00657	 4.331e+00	 5.574999	9.280e+00	0.015313	test
SIN3A@06666	 3.913e+00	 6.390634	9.313e+00	0.015591	test
SIN3A@02915	 4.101e+00	 5.758912	9.157e+00	0.015799	test
SIN3A@01297	 6.028e+00	 4.537613	9.160e+00	0.015827	test
SIN3A@10748	 1.017e+01	 5.632969	9.230e+00	0.015917	test
SIN3A@11716	 8.020e+00	 3.845057	9.168e+00	0.015960	test
SIN3A@07907	 4.528e+00	 6.111894	9.205e+00	0.016018	test
SIN3A@08020	 4.745e+00	 5.514719	9.201e+00	0.016033	test
SIN3A@13129	-4.771e+00	 5.156924	9.023e+00	0.016348	test
SIN3A@03983	 5.997e+00	 5.869504	9.098e+00	0.016458	test
SIN3A@06331	 1.035e+01	 3.331219	9.747e+00	0.016547	test
SIN3A@01958	 4.126e+00	 6.239836	9.076e+00	0.016551	test
SIN3A@06033	-5.343e+00	 4.689935	8.922e+00	0.016779	test
