logFC	logCPM	F	PValue	status
SIN3A@07991	 5.419e+00	 5.6184201	7.966e+00	0.0092994	test
SIN3A@05938	-1.061e+01	 3.5782157	7.954e+00	0.0095696	test
SIN3A@02323	 5.377e+00	 5.5123522	7.827e+00	0.0098551	test
SIN3A@03116	 6.445e+00	 4.9566975	7.784e+00	0.0100335	test
SIN3A@04493	-5.819e+00	 4.6517290	7.766e+00	0.0100740	test
SIN3A@11530	 5.248e+00	 5.6969343	7.773e+00	0.0100791	test
SIN3A@06033	-5.489e+00	 4.8084615	7.754e+00	0.0100968	test
SIN3A@02952	 7.741e+00	 4.2049722	7.767e+00	0.0101025	test
SIN3A@05634	-1.049e+01	 3.4693724	7.813e+00	0.0101400	test
SIN3A@01679	 5.252e+00	 5.5421742	7.735e+00	0.0102393	test
SIN3A@14464	 4.507e+00	10.9768566	7.674e+00	0.0105039	GFP
SIN3A@12995	 9.942e+00	 2.9268085	7.728e+00	0.0105056	test
SIN3A@02183	 7.041e+00	 4.9304179	7.643e+00	0.0106451	test
SIN3A@01545	-1.076e+01	 3.7323069	7.680e+00	0.0107158	test
SIN3A@10899	 6.680e+00	 4.3393356	7.600e+00	0.0108390	test
SIN3A@03738	-7.476e+00	 4.1568315	7.595e+00	0.0108588	test
SIN3A@07468	 6.955e+00	 4.1490628	7.526e+00	0.0111803	test
SIN3A@00607	-4.834e+00	 5.5826826	7.398e+00	0.0117352	test
SIN3A@03983	 5.371e+00	 5.3321290	7.373e+00	0.0119329	test
SIN3A@01087	 5.957e+00	 4.3529405	7.331e+00	0.0120916	test
SIN3A@03488	 7.924e+00	 3.9254878	7.330e+00	0.0121518	test
SIN3A@14420	-4.798e+00	 5.8275686	7.303e+00	0.0122550	negative
SIN3A@08089	-5.164e+00	 5.4840376	7.279e+00	0.0124185	test
SIN3A@09492	 1.006e+01	 3.0459668	7.319e+00	0.0124637	test
SIN3A@09236	-4.760e+00	 5.5642991	7.253e+00	0.0124876	test
SIN3A@07997	 4.932e+00	 6.0170386	7.222e+00	0.0127228	test
SIN3A@12322	-4.694e+00	 5.9071062	7.212e+00	0.0127258	test
SIN3A@10876	-5.030e+00	 5.3496379	7.203e+00	0.0128314	test
SIN3A@00953	-1.061e+01	 3.5844677	7.244e+00	0.0128642	test
SIN3A@12702	-1.061e+01	 3.5844677	7.244e+00	0.0128642	test
SIN3A@12308	-4.650e+00	 5.7848708	7.117e+00	0.0132410	test
SIN3A@10685	 6.464e+00	 4.3937112	7.123e+00	0.0132778	test
SIN3A@07853	 4.377e+00	 7.5859755	7.122e+00	0.0132847	test
SIN3A@13788	-4.807e+00	 5.7808090	7.052e+00	0.0136901	test
SIN3A@08338	 5.135e+00	 5.3023169	7.051e+00	0.0136957	test
SIN3A@01234	-4.963e+00	 5.4269776	7.026e+00	0.0138427	test
SIN3A@06133	-4.634e+00	 5.8551785	7.007e+00	0.0138996	test
SIN3A@04617	-4.454e+00	 5.9851758	7.003e+00	0.0139066	test
SIN3A@13129	-4.786e+00	 5.2172760	7.000e+00	0.0139371	test
SIN3A@04971	 5.867e+00	 4.4330090	6.966e+00	0.0142068	test
SIN3A@02408	-5.331e+00	 4.6575629	6.941e+00	0.0143022	test
SIN3A@12256	 5.414e+00	 4.7207703	6.938e+00	0.0143810	test
SIN3A@03676	 9.381e+00	 2.3887249	6.873e+00	0.0150732	test
SIN3A@10966	-4.844e+00	 5.0534124	6.806e+00	0.0151673	test
SIN3A@07852	 4.412e+00	 6.3000303	6.803e+00	0.0152500	test
SIN3A@11716	 7.571e+00	 3.4888168	6.794e+00	0.0152538	test
SIN3A@14051	-4.642e+00	 5.6084304	6.743e+00	0.0156285	negative
SIN3A@11955	-4.646e+00	 5.1437017	6.723e+00	0.0157115	test
SIN3A@09749	-5.146e+00	 5.0025559	6.707e+00	0.0159052	test
SIN3A@03402	 4.812e+00	 5.0823065	6.703e+00	0.0159357	test
SIN3A@04432	 5.624e+00	 5.3205847	6.698e+00	0.0159659	test
SIN3A@08632	-4.786e+00	 4.9802053	6.687e+00	0.0159663	test
SIN3A@10587	 5.331e+00	 4.8396892	6.687e+00	0.0160485	test
SIN3A@13239	-4.782e+00	 5.5732724	6.663e+00	0.0162123	test
SIN3A@08465	-4.691e+00	 5.0989108	6.653e+00	0.0162184	test
SIN3A@00764	 5.256e+00	 4.7194293	6.654e+00	0.0162784	test
SIN3A@11667	-4.323e+00	 5.9903984	6.639e+00	0.0163065	test
SIN3A@02443	 9.634e+00	 2.6321471	6.691e+00	0.0163120	test
SIN3A@10210	-4.911e+00	 4.8111042	6.634e+00	0.0163381	test
SIN3A@11050	-5.251e+00	 4.5486860	6.607e+00	0.0165381	test
SIN3A@01972	-4.751e+00	 5.0263759	6.564e+00	0.0168733	test
SIN3A@13885	-4.166e+00	 6.1633625	6.535e+00	0.0170877	test
SIN3A@14002	 9.534e+00	 2.5364244	6.569e+00	0.0171990	test
SIN3A@08400	-5.398e+00	 4.9910401	6.515e+00	0.0173102	test
SIN3A@01066	-1.030e+01	 3.2804114	6.540e+00	0.0174245	test
SIN3A@10982	-4.537e+00	 5.1823146	6.488e+00	0.0174318	test
SIN3A@05401	-4.128e+00	 6.1906178	6.487e+00	0.0174593	test
SIN3A@01579	-6.365e+00	 4.0355358	6.469e+00	0.0175995	test
SIN3A@10261	 8.141e+00	 3.1712939	6.466e+00	0.0176843	test
SIN3A@04202	-4.750e+00	 4.9584995	6.455e+00	0.0177135	test
SIN3A@04148	-4.880e+00	 4.8070415	6.448e+00	0.0177567	test
SIN3A@01265	 9.097e+00	 2.1200795	6.477e+00	0.0179063	test
SIN3A@09631	 9.446e+00	 2.4525154	6.475e+00	0.0179207	test
SIN3A@04347	 9.433e+00	 2.4401189	6.463e+00	0.0180154	test
SIN3A@02422	-4.322e+00	 5.8576464	6.412e+00	0.0180257	test
SIN3A@01484	-6.000e+00	 4.0568776	6.403e+00	0.0180992	test
SIN3A@11074	-4.546e+00	 5.2184666	6.381e+00	0.0183218	test
SIN3A@01179	 7.540e+00	 3.5530613	6.361e+00	0.0185310	test
SIN3A@02607	-7.068e+00	 4.2546538	6.347e+00	0.0186479	test
SIN3A@06040	 8.331e+00	 3.3570592	6.337e+00	0.0187319	test
SIN3A@10700	-7.291e+00	 3.4833759	6.314e+00	0.0188500	test
SIN3A@13807	-5.566e+00	 4.2523537	6.306e+00	0.0189023	test
SIN3A@14465	 3.747e+00	10.1702815	6.304e+00	0.0190111	GFP
SIN3A@06597	 4.916e+00	 5.0791236	6.285e+00	0.0191705	test
SIN3A@03490	-5.657e+00	 4.3801702	6.230e+00	0.0196490	test
SIN3A@07994	 4.653e+00	 4.9833361	6.198e+00	0.0199334	test
SIN3A@08644	-4.321e+00	 6.0578086	6.185e+00	0.0200449	test
SIN3A@04953	-5.999e+00	 4.0557289	6.180e+00	0.0200461	test
SIN3A@01536	-5.054e+00	 4.5502631	6.175e+00	0.0200658	test
SIN3A@06889	-6.009e+00	 4.0604163	6.157e+00	0.0203025	test
SIN3A@07588	-4.735e+00	 4.7554536	6.147e+00	0.0203029	test
SIN3A@08303	-4.293e+00	 5.4471698	6.143e+00	0.0203425	test
SIN3A@14006	-4.971e+00	 4.6165525	6.140e+00	0.0204070	test
SIN3A@00889	-3.561e+00	 7.0579074	6.133e+00	0.0204334	test
SIN3A@11668	-4.145e+00	 5.9606053	6.124e+00	0.0205146	test
SIN3A@11653	 5.134e+00	 6.3013760	6.128e+00	0.0205713	test
SIN3A@00847	-4.269e+00	 5.5199017	6.106e+00	0.0206797	test
SIN3A@01099	 4.921e+00	 5.4257172	6.111e+00	0.0207267	test
SIN3A@08494	-5.191e+00	 4.3977055	6.096e+00	0.0207942	test
SIN3A@12855	-4.996e+00	 4.5007378	6.081e+00	0.0209133	test
SIN3A@06081	 6.833e+00	 3.7759244	6.070e+00	0.0211122	test
SIN3A@06439	-7.600e+00	 3.8629292	6.068e+00	0.0211353	test
SIN3A@08980	-4.553e+00	 4.9186969	6.055e+00	0.0211616	test
SIN3A@10679	-4.108e+00	 5.9161757	6.052e+00	0.0211918	test
SIN3A@13298	-4.338e+00	 5.1831584	6.040e+00	0.0213080	test
SIN3A@10926	-9.614e+00	 2.6196099	6.079e+00	0.0213607	test
SIN3A@12946	-5.734e+00	 4.2659981	6.030e+00	0.0214990	test
SIN3A@08055	 4.535e+00	 5.0407111	6.029e+00	0.0215034	test
SIN3A@10944	-4.660e+00	 4.8516156	6.012e+00	0.0215948	test
SIN3A@13742	-7.309e+00	 3.6028610	6.007e+00	0.0217178	test
SIN3A@10646	-9.978e+00	 2.9691026	6.035e+00	0.0217824	test
SIN3A@09856	-4.443e+00	 5.0510693	5.992e+00	0.0217904	test
SIN3A@08391	-4.296e+00	 5.5073483	5.976e+00	0.0219488	test
SIN3A@04730	 5.291e+00	 4.6028644	5.982e+00	0.0219685	test
SIN3A@13028	-4.019e+00	 6.0970830	5.976e+00	0.0219823	test
SIN3A@03072	 8.364e+00	 1.3818763	5.975e+00	0.0223002	test
SIN3A@11823	-7.151e+00	 3.3446080	5.909e+00	0.0226372	test
SIN3A@02873	 4.909e+00	 4.6949180	5.906e+00	0.0227359	test
SIN3A@12875	-5.414e+00	 4.2599198	5.885e+00	0.0228775	test
SIN3A@10588	-4.270e+00	 5.1814024	5.876e+00	0.0229712	test
SIN3A@09055	 6.757e+00	 3.9568419	5.880e+00	0.0230126	test
SIN3A@08589	-4.174e+00	 5.6371592	5.859e+00	0.0231499	test
SIN3A@13395	-4.245e+00	 5.1546670	5.849e+00	0.0232389	test
SIN3A@14334	-4.382e+00	 5.4309122	5.821e+00	0.0236419	negative
SIN3A@12484	-4.239e+00	 5.5838972	5.819e+00	0.0236500	test
SIN3A@14463	 3.553e+00	10.5888425	5.814e+00	0.0237112	GFP
SIN3A@08963	-4.795e+00	 4.5627645	5.803e+00	0.0237593	test
SIN3A@10838	-3.548e+00	 6.7914097	5.786e+00	0.0239367	test
SIN3A@03853	-4.161e+00	 5.3564219	5.780e+00	0.0239916	test
SIN3A@13791	-4.879e+00	 4.5300650	5.779e+00	0.0240135	test
SIN3A@06177	-9.784e+00	 2.7851841	5.819e+00	0.0240136	test
SIN3A@09667	 7.553e+00	 2.5893904	5.771e+00	0.0241060	test
SIN3A@01641	-4.793e+00	 4.5864782	5.770e+00	0.0241177	test
SIN3A@02919	 4.233e+00	 7.1734839	5.773e+00	0.0241689	test
SIN3A@14379	-4.323e+00	 5.1896438	5.760e+00	0.0243080	negative
SIN3A@07585	-7.546e+00	 3.7373829	5.746e+00	0.0244590	test
SIN3A@11002	 8.400e+00	 1.4713154	5.773e+00	0.0245187	test
SIN3A@08333	 4.670e+00	 4.6819105	5.730e+00	0.0246019	test
SIN3A@11826	-4.272e+00	 5.0321931	5.706e+00	0.0248216	test
SIN3A@08038	 4.945e+00	 4.4067932	5.696e+00	0.0249488	test
SIN3A@02224	 5.394e+00	 4.1969935	5.703e+00	0.0249544	test
SIN3A@02281	 7.601e+00	 2.6473817	5.684e+00	0.0251667	test
SIN3A@00440	-4.081e+00	 5.5281510	5.676e+00	0.0251701	test
SIN3A@05326	-4.154e+00	 5.2979682	5.651e+00	0.0254743	test
SIN3A@11087	-4.433e+00	 4.7978390	5.638e+00	0.0256121	test
SIN3A@00181	 7.242e+00	 3.1719384	5.646e+00	0.0256142	test
SIN3A@09830	 4.455e+00	 4.8479851	5.632e+00	0.0257308	test
SIN3A@03163	-5.023e+00	 4.5409382	5.632e+00	0.0257872	test
SIN3A@00454	-4.568e+00	 4.8366711	5.623e+00	0.0258837	test
SIN3A@13440	 4.109e+00	 6.1490575	5.613e+00	0.0260097	test
SIN3A@08054	 3.633e+00	 6.7059699	5.611e+00	0.0260282	test
SIN3A@08035	 4.688e+00	 4.8065050	5.605e+00	0.0261023	test
SIN3A@03489	-3.996e+00	 5.7269196	5.596e+00	0.0261160	test
SIN3A@01297	 5.590e+00	 3.9931880	5.576e+00	0.0263783	test
SIN3A@03101	-4.574e+00	 4.9078738	5.580e+00	0.0264081	test
SIN3A@12570	 6.193e+00	 3.6188065	5.562e+00	0.0265278	test
SIN3A@11603	-4.855e+00	 4.4264238	5.543e+00	0.0267864	test
SIN3A@01074	-5.445e+00	 4.0363179	5.525e+00	0.0269824	test
SIN3A@13057	-4.113e+00	 5.1273072	5.507e+00	0.0272175	test
SIN3A@02735	-5.245e+00	 4.9036530	5.511e+00	0.0272622	test
SIN3A@11496	-4.737e+00	 5.4884720	5.496e+00	0.0274504	test
SIN3A@10464	-4.871e+00	 4.3591487	5.473e+00	0.0276507	test
SIN3A@00977	-5.903e+00	 3.8026042	5.468e+00	0.0277284	test
SIN3A@13561	-4.367e+00	 4.9350919	5.462e+00	0.0278910	test
SIN3A@12710	 7.905e+00	 0.9564963	5.446e+00	0.0283939	test
SIN3A@05244	-9.459e+00	 2.4756449	5.452e+00	0.0283990	test
SIN3A@10408	-5.228e+00	 4.6435466	5.423e+00	0.0284112	test
SIN3A@03278	-4.582e+00	 4.5839228	5.412e+00	0.0284708	test
SIN3A@02736	 7.961e+00	 0.9930605	5.445e+00	0.0285002	test
SIN3A@01043	-4.161e+00	 5.1067292	5.410e+00	0.0285221	test
SIN3A@05624	-4.154e+00	 5.3970989	5.394e+00	0.0287872	test
SIN3A@08789	 5.401e+00	 4.2405171	5.390e+00	0.0288490	test
SIN3A@12531	-3.586e+00	 6.2223500	5.381e+00	0.0288676	test
SIN3A@02977	 5.226e+00	 4.0878110	5.380e+00	0.0288944	test
SIN3A@01361	-3.498e+00	 6.4593503	5.374e+00	0.0289928	test
SIN3A@02451	 6.417e+00	 3.8647751	5.376e+00	0.0290344	test
SIN3A@09263	-3.950e+00	 5.3634992	5.351e+00	0.0292747	test
SIN3A@04701	-4.131e+00	 5.2992425	5.358e+00	0.0292749	test
SIN3A@08467	-4.104e+00	 5.2314067	5.357e+00	0.0293001	test
SIN3A@03096	-4.048e+00	 5.2578435	5.340e+00	0.0294437	test
SIN3A@03160	 4.073e+00	 5.9955031	5.338e+00	0.0295505	test
SIN3A@14202	-3.515e+00	 6.2696507	5.327e+00	0.0295990	negative
SIN3A@05038	 7.524e+00	 2.5761441	5.332e+00	0.0296419	test
SIN3A@06464	 4.275e+00	 5.1745572	5.311e+00	0.0299256	test
SIN3A@00355	-3.773e+00	 6.1006756	5.306e+00	0.0299970	test
SIN3A@04013	-4.596e+00	 4.5337858	5.296e+00	0.0300676	test
SIN3A@10741	-4.177e+00	 4.9593969	5.284e+00	0.0302288	test
SIN3A@00617	 7.784e+00	 0.8463258	5.308e+00	0.0302660	test
SIN3A@05724	-3.376e+00	 6.7773440	5.283e+00	0.0302862	test
SIN3A@00192	-3.360e+00	 6.5849356	5.265e+00	0.0304753	test
SIN3A@05398	-4.036e+00	 5.4430117	5.271e+00	0.0304964	test
SIN3A@13288	-4.537e+00	 4.5767947	5.266e+00	0.0304993	test
SIN3A@03901	-3.951e+00	 5.2547939	5.262e+00	0.0305233	test
SIN3A@10636	-4.437e+00	 4.6171254	5.244e+00	0.0308076	test
SIN3A@04092	-4.171e+00	 4.8589601	5.242e+00	0.0308177	test
SIN3A@01735	 5.806e+00	 4.1557435	5.238e+00	0.0309798	test
SIN3A@01055	 6.658e+00	 3.4282195	5.237e+00	0.0309941	test
SIN3A@11338	-5.138e+00	 4.5338948	5.233e+00	0.0310460	test
SIN3A@07413	-4.544e+00	 4.5729768	5.226e+00	0.0310946	test
SIN3A@05391	-3.857e+00	 5.5859927	5.214e+00	0.0312224	test
SIN3A@09671	-4.004e+00	 5.5883755	5.216e+00	0.0313001	test
SIN3A@05990	-3.879e+00	 6.0009837	5.214e+00	0.0313237	test
SIN3A@09880	-3.656e+00	 6.1059588	5.206e+00	0.0313638	test
SIN3A@04192	-3.901e+00	 5.5311374	5.194e+00	0.0315420	test
SIN3A@04609	 4.674e+00	 5.7668620	5.198e+00	0.0315596	test
SIN3A@05276	-3.927e+00	 5.5663915	5.191e+00	0.0315792	test
SIN3A@03299	 3.992e+00	 5.9994133	5.196e+00	0.0315907	test
SIN3A@13772	-4.649e+00	 4.4217650	5.184e+00	0.0316922	test
SIN3A@02400	 4.803e+00	 4.8183273	5.182e+00	0.0318117	test
SIN3A@01637	 3.993e+00	 5.8209632	5.181e+00	0.0318193	test
SIN3A@03021	-4.383e+00	 4.6231354	5.150e+00	0.0321778	test
SIN3A@14346	-3.960e+00	 5.4881663	5.153e+00	0.0322273	negative
SIN3A@09692	-3.838e+00	 5.6104623	5.143e+00	0.0322934	test
SIN3A@09905	 6.468e+00	 3.3052377	5.129e+00	0.0326126	test
SIN3A@02310	 7.584e+00	 0.6791101	5.109e+00	0.0331998	test
SIN3A@05842	-5.105e+00	 4.2170539	5.089e+00	0.0332412	test
SIN3A@00225	 4.121e+00	 5.1481792	5.086e+00	0.0332816	test
SIN3A@12518	-3.859e+00	 5.2618792	5.071e+00	0.0334184	test
SIN3A@12829	-3.907e+00	 5.1016509	5.070e+00	0.0334269	test
SIN3A@05301	-3.845e+00	 5.3560644	5.069e+00	0.0334373	test
SIN3A@01627	-4.616e+00	 4.4052614	5.070e+00	0.0334808	test
SIN3A@05919	 5.583e+00	 3.9688978	5.073e+00	0.0334865	test
SIN3A@06381	-3.894e+00	 5.1671931	5.062e+00	0.0335492	test
SIN3A@02113	-3.853e+00	 5.4456683	5.055e+00	0.0336878	test
SIN3A@12230	-3.910e+00	 5.2060416	5.040e+00	0.0339544	test
SIN3A@13284	-3.922e+00	 5.3018643	5.036e+00	0.0340400	test
SIN3A@02377	-5.919e+00	 3.6475595	5.032e+00	0.0341289	test
SIN3A@05215	-3.664e+00	 5.9223166	5.023e+00	0.0341855	test
SIN3A@03681	 5.651e+00	 4.1740092	5.026e+00	0.0342454	test
SIN3A@00330	 4.484e+00	 5.7028013	5.023e+00	0.0343046	test
SIN3A@05296	-4.285e+00	 4.6197406	5.014e+00	0.0343327	test
SIN3A@11390	-5.594e+00	 3.9074648	5.012e+00	0.0344716	test
SIN3A@09899	-4.079e+00	 4.9299720	5.007e+00	0.0344942	test
SIN3A@12363	-3.933e+00	 5.4969150	5.008e+00	0.0345446	test
SIN3A@11011	 7.509e+00	 0.6088835	5.021e+00	0.0346462	test
SIN3A@14185	-3.993e+00	 5.0026591	4.996e+00	0.0346576	negative
SIN3A@14260	-3.630e+00	 6.0432346	4.994e+00	0.0346902	negative
SIN3A@03384	-4.528e+00	 4.4724701	4.993e+00	0.0347489	test
SIN3A@02917	 3.944e+00	 5.8874258	4.994e+00	0.0347746	test
SIN3A@14423	-3.921e+00	 5.0189761	4.983e+00	0.0348371	negative
SIN3A@13101	-4.506e+00	 4.3967269	4.982e+00	0.0348688	test
SIN3A@14048	-3.848e+00	 6.0948115	4.988e+00	0.0348716	negative
SIN3A@12865	-3.384e+00	 6.2957775	4.979e+00	0.0349294	test
SIN3A@02256	 4.674e+00	 4.3507904	4.984e+00	0.0349343	test
SIN3A@10925	-3.797e+00	 5.4477000	4.977e+00	0.0349498	test
SIN3A@00018	-4.395e+00	 4.6747130	4.980e+00	0.0350066	test
SIN3A@14421	-3.175e+00	 6.8846092	4.959e+00	0.0352451	negative
SIN3A@05124	 4.019e+00	 6.1452811	4.965e+00	0.0352603	test
SIN3A@07048	-4.060e+00	 4.8612989	4.956e+00	0.0353161	test
SIN3A@07475	-4.161e+00	 4.8535533	4.957e+00	0.0353841	test
SIN3A@06125	-3.701e+00	 5.7399118	4.949e+00	0.0354197	test
SIN3A@10654	-3.905e+00	 5.0209728	4.945e+00	0.0354772	test
SIN3A@04923	 4.399e+00	 4.6476794	4.952e+00	0.0354808	test
SIN3A@12961	-3.818e+00	 5.3326233	4.943e+00	0.0355421	test
SIN3A@06370	-4.102e+00	 4.8305331	4.939e+00	0.0356092	test
SIN3A@07995	 7.429e+00	 2.6223055	4.940e+00	0.0356769	test
SIN3A@11937	-3.766e+00	 5.5557975	4.933e+00	0.0357048	test
SIN3A@12410	-3.637e+00	 6.0140217	4.934e+00	0.0357298	test
SIN3A@01499	-5.804e+00	 4.0236700	4.929e+00	0.0358645	test
SIN3A@11254	-3.931e+00	 5.1137550	4.918e+00	0.0360127	test
SIN3A@05501	-4.007e+00	 5.1731244	4.899e+00	0.0363877	test
SIN3A@11452	-5.020e+00	 4.2613427	4.899e+00	0.0363945	test
SIN3A@07368	-4.121e+00	 4.7258144	4.889e+00	0.0364578	test
SIN3A@11405	-4.130e+00	 5.2806178	4.892e+00	0.0365161	test
SIN3A@00061	-3.817e+00	 5.1447799	4.878e+00	0.0366584	test
SIN3A@12686	-3.816e+00	 5.2852416	4.875e+00	0.0367475	test
SIN3A@05627	-3.825e+00	 5.3603874	4.874e+00	0.0367601	test
SIN3A@04533	-6.245e+00	 3.2736738	4.859e+00	0.0369956	test
SIN3A@01158	-3.639e+00	 5.9507430	4.854e+00	0.0370995	test
SIN3A@13322	-3.830e+00	 5.3043084	4.856e+00	0.0371134	test
SIN3A@08020	 4.066e+00	 4.9236849	4.839e+00	0.0374531	test
SIN3A@10249	-3.898e+00	 5.2679637	4.835e+00	0.0375299	test
SIN3A@03154	 6.435e+00	 2.9373500	4.824e+00	0.0376710	test
SIN3A@02205	-5.103e+00	 4.5155094	4.825e+00	0.0377076	test
SIN3A@04096	 6.261e+00	 3.2611717	4.823e+00	0.0377424	test
SIN3A@07373	-5.422e+00	 3.7633410	4.813e+00	0.0378195	test
