logFC	logCPM	F	PValue	status
SIN3A@00679	 4.742e+00	 6.227819	8.521e+00	1.229e-02	test
SIN3A@02552	 4.063e+00	 6.464802	8.502e+00	1.237e-02	test
SIN3A@07834	 3.045e+00	 7.224674	8.486e+00	1.243e-02	test
SIN3A@04432	 6.228e+00	 5.804957	8.479e+00	1.246e-02	test
SIN3A@07848	 1.962e+00	 8.759998	8.463e+00	1.252e-02	test
SIN3A@08169	 2.852e+00	 7.666441	8.431e+00	1.265e-02	test
SIN3A@05323	 3.844e+00	 6.417802	8.275e+00	1.332e-02	test
SIN3A@11022	-8.653e+00	 4.484558	8.254e+00	1.338e-02	test
SIN3A@07199	 7.956e+00	 4.902680	8.249e+00	1.343e-02	test
SIN3A@02293	 9.340e+00	 4.413396	8.194e+00	1.368e-02	test
SIN3A@03568	 3.055e+00	 6.930806	8.191e+00	1.369e-02	test
SIN3A@07957	 2.423e+00	 7.416438	8.159e+00	1.384e-02	test
SIN3A@06375	 3.389e+00	 7.013214	8.157e+00	1.385e-02	test
SIN3A@03456	 6.376e+00	 4.979289	8.124e+00	1.397e-02	test
SIN3A@07822	 2.754e+00	 7.413600	8.106e+00	1.409e-02	test
SIN3A@09576	 3.609e+00	 7.122619	8.100e+00	1.411e-02	test
SIN3A@07921	 2.251e+00	 7.561883	8.086e+00	1.418e-02	test
SIN3A@09051	 5.330e+00	 5.417360	8.058e+00	1.431e-02	test
SIN3A@09851	 3.499e+00	 7.202585	7.988e+00	1.465e-02	test
SIN3A@07142	 3.410e+00	 7.058838	7.984e+00	1.467e-02	test
SIN3A@07797	 2.483e+00	 7.283266	7.914e+00	1.502e-02	test
SIN3A@14348	 3.875e+00	 6.631945	7.906e+00	1.506e-02	negative
SIN3A@12090	-4.904e+00	 5.473339	7.810e+00	1.543e-02	test
SIN3A@07991	 5.275e+00	 5.434975	7.834e+00	1.543e-02	test
SIN3A@00618	 3.813e+00	 6.735404	7.816e+00	1.553e-02	test
SIN3A@06574	 2.915e+00	 7.796679	7.805e+00	1.558e-02	test
SIN3A@07968	 4.076e+00	 5.843693	7.778e+00	1.561e-02	test
SIN3A@06666	 3.842e+00	 6.321455	7.793e+00	1.565e-02	test
SIN3A@00781	 3.777e+00	 7.344173	7.773e+00	1.575e-02	test
SIN3A@07468	 7.441e+00	 4.543716	7.713e+00	1.595e-02	test
SIN3A@12547	-4.085e+00	 5.995486	7.735e+00	1.596e-02	test
SIN3A@02205	-1.141e+01	 4.368682	7.904e+00	1.615e-02	test
SIN3A@07952	 4.011e+00	 5.885071	7.682e+00	1.621e-02	test
SIN3A@07815	 2.160e+00	 7.470650	7.668e+00	1.629e-02	test
SIN3A@03577	 2.908e+00	 7.529923	7.654e+00	1.641e-02	test
SIN3A@05134	 3.084e+00	 6.986298	7.643e+00	1.646e-02	test
SIN3A@00057	-2.869e+00	 6.762151	7.610e+00	1.662e-02	test
SIN3A@13028	-3.481e+00	 6.069842	7.592e+00	1.663e-02	test
SIN3A@10635	-2.329e+00	 7.229531	7.591e+00	1.667e-02	test
SIN3A@00162	 4.807e+00	 6.430009	7.599e+00	1.672e-02	test
SIN3A@13092	 8.643e+00	 4.554581	7.565e+00	1.691e-02	test
SIN3A@08191	 2.548e+00	 7.009322	7.550e+00	1.696e-02	test
SIN3A@07377	 3.407e+00	 6.708342	7.539e+00	1.706e-02	test
SIN3A@11112	 8.172e+00	 4.506681	7.531e+00	1.711e-02	test
SIN3A@01988	 5.403e+00	 5.409792	7.530e+00	1.712e-02	test
SIN3A@00543	-5.633e+00	 5.273522	7.521e+00	1.717e-02	test
SIN3A@11668	-4.324e+00	 5.902813	7.470e+00	1.748e-02	test
SIN3A@07802	 2.412e+00	 7.164593	7.447e+00	1.760e-02	test
SIN3A@11360	 6.244e+00	 5.130049	7.425e+00	1.775e-02	test
SIN3A@07486	 6.027e+00	 5.057238	7.416e+00	1.780e-02	test
