logFC	logCPM	F	PValue	status
SIN3A@02607	-6.930e+00	 3.483568	8.580e+00	0.0073695	test
SIN3A@12995	 1.040e+01	 3.906938	8.625e+00	0.0074415	test
SIN3A@11002	 9.820e+00	 3.334334	8.555e+00	0.0076534	test
SIN3A@08055	 5.233e+00	 5.969568	8.458e+00	0.0077411	test
SIN3A@00502	-5.365e+00	 4.219223	8.443e+00	0.0077896	test
SIN3A@02415	 6.778e+00	 4.658748	8.410e+00	0.0078943	test
SIN3A@09174	 1.026e+01	 3.764473	8.399e+00	0.0081439	test
SIN3A@07815	 2.596e+00	 8.057471	8.294e+00	0.0082717	test
SIN3A@04953	-6.159e+00	 3.311454	8.287e+00	0.0082955	test
SIN3A@06795	 1.050e+01	 4.002036	8.342e+00	0.0083303	test
SIN3A@07832	 4.981e+00	 6.673937	8.226e+00	0.0085039	test
SIN3A@03116	 6.719e+00	 5.538328	8.144e+00	0.0087960	test
SIN3A@07993	 4.207e+00	 6.664415	8.137e+00	0.0088186	test
SIN3A@01622	 7.268e+00	 4.950820	7.998e+00	0.0093369	test
SIN3A@08939	-4.555e+00	 4.876070	7.978e+00	0.0094146	test
SIN3A@07729	 3.666e+00	 6.881766	7.940e+00	0.0095626	test
SIN3A@07989	 4.608e+00	 6.780599	7.895e+00	0.0097415	test
SIN3A@13028	-3.626e+00	 5.497072	7.884e+00	0.0097871	test
SIN3A@05624	-4.401e+00	 4.715580	7.876e+00	0.0098173	test
SIN3A@05413	 5.198e+00	 5.522497	7.864e+00	0.0098699	test
SIN3A@08237	 6.534e+00	 4.716873	7.816e+00	0.0100642	test
SIN3A@04730	 5.796e+00	 5.329143	7.770e+00	0.0102616	test
SIN3A@11050	-5.085e+00	 3.897070	7.753e+00	0.0103330	test
SIN3A@14470	 2.481e+00	10.399698	7.744e+00	0.0103723	mCherry
SIN3A@04609	 5.231e+00	 6.599600	7.735e+00	0.0104095	test
SIN3A@10587	 5.756e+00	 5.540073	7.735e+00	0.0104124	test
SIN3A@07199	 7.288e+00	 4.595319	7.729e+00	0.0104381	test
SIN3A@13742	-6.064e+00	 2.913780	7.728e+00	0.0104421	test
SIN3A@03488	 7.913e+00	 4.176479	7.706e+00	0.0105353	test
SIN3A@13092	 8.181e+00	 4.440177	7.680e+00	0.0106508	test
SIN3A@05634	-6.806e+00	 2.726134	7.674e+00	0.0106791	test
SIN3A@02977	 5.706e+00	 4.800932	7.641e+00	0.0108255	test
SIN3A@14464	 4.130e+00	10.830568	8.107e+00	0.0109476	GFP
SIN3A@07849	 3.282e+00	 7.241984	7.605e+00	0.0109896	test
SIN3A@11603	-5.217e+00	 3.707585	7.588e+00	0.0110679	test
SIN3A@03072	 9.300e+00	 2.823010	7.614e+00	0.0112065	test
SIN3A@08333	 5.249e+00	 5.482695	7.536e+00	0.0113145	test
SIN3A@02736	 9.285e+00	 2.813882	7.572e+00	0.0114040	test
SIN3A@08151	 3.782e+00	 6.900630	7.507e+00	0.0114504	test
SIN3A@08169	 2.994e+00	 8.052242	7.503e+00	0.0114694	test
