logFC	logCPM	F	PValue	status
Sox2-hU6@16092	 1.799e+00	 4.155056	1.179e+01	3.373e-03	test
Sox2-hU6@13314	 1.527e+00	 4.764600	1.179e+01	3.374e-03	test
Sox2-hU6@06649	 1.061e+00	 6.817051	1.173e+01	3.440e-03	test
Sox2-hU6@13802	 1.044e+00	 6.777815	1.161e+01	3.565e-03	test
Sox2-hU6@19537	 1.350e+00	 5.836737	1.165e+01	3.585e-03	test
Sox2-hU6@13416	 1.785e+00	 4.539246	1.159e+01	3.598e-03	test
Sox2-hU6@13784	 2.103e+00	 4.400129	1.179e+01	3.822e-03	test
Sox2-hU6@24326	-1.341e+00	 5.380059	1.133e+01	3.897e-03	test
Sox2-hU6@13073	 1.322e+00	 5.887576	1.138e+01	3.898e-03	test
Sox2-hU6@05372	 1.983e+00	 5.548265	1.293e+01	3.903e-03	test
Sox2-hU6@07388	 2.283e+00	 3.580222	1.130e+01	3.934e-03	test
Sox2-hU6@09333	 1.625e+00	 4.356698	1.124e+01	4.006e-03	test
Sox2-hU6@15030	 1.641e+00	 4.695281	1.122e+01	4.033e-03	test
Sox2-hU6@14702	 3.601e+00	 2.808167	1.152e+01	4.083e-03	test
Sox2-hU6@16542	 1.035e+00	 6.481207	1.100e+01	4.323e-03	test
Sox2-hU6@06904	 1.340e+00	 5.227881	1.099e+01	4.340e-03	test
Sox2-hU6@16105	 2.647e+00	 3.078944	1.097e+01	4.367e-03	test
Sox2-hU6@17029	 1.357e+00	 5.131551	1.095e+01	4.388e-03	test
Sox2-hU6@13384	 1.785e+00	 4.319853	1.094e+01	4.408e-03	test
Sox2-hU6@10836	 1.454e+00	 5.579145	1.095e+01	4.719e-03	test
Sox2-hU6@19840	 1.655e+00	 6.039092	1.197e+01	4.770e-03	test
Sox2-hU6@26816	 3.003e+00	 4.012656	1.237e+01	4.777e-03	test
Sox2-hU6@07237	 2.380e+00	 3.154158	1.066e+01	4.823e-03	test
Sox2-hU6@06562	-2.774e+00	 3.465180	1.098e+01	4.908e-03	test
Sox2-hU6@22534	 1.568e+00	 4.992573	1.065e+01	4.958e-03	test
Sox2-hU6@05291	 1.444e+00	 5.238223	1.058e+01	4.990e-03	test
Sox2-hU6@20258	-3.206e+00	 2.342088	1.053e+01	5.026e-03	test
Sox2-hU6@13994	-1.247e+00	 5.598550	1.045e+01	5.168e-03	test
Sox2-hU6@23450	 1.960e+00	 3.620337	1.043e+01	5.192e-03	test
Sox2-hU6@17726	 1.888e+00	 4.078764	1.042e+01	5.219e-03	test
Sox2-hU6@07821	 2.306e+00	 3.518072	1.039e+01	5.267e-03	test
Sox2-hU6@13055	 1.659e+00	 4.583944	1.037e+01	5.305e-03	test
Sox2-hU6@18360	 1.279e+00	 5.581474	1.034e+01	5.349e-03	test
Sox2-hU6@03435	 1.613e+00	 5.543580	1.095e+01	5.369e-03	test
Sox2-hU6@00184	 1.272e+00	 5.259276	1.031e+01	5.407e-03	test
Sox2-hU6@13382	 1.497e+00	 5.498796	1.059e+01	5.421e-03	test
Sox2-hU6@16174	 1.239e+00	 5.623375	1.028e+01	5.458e-03	test
Sox2-hU6@03692	 2.640e+00	 2.793920	1.025e+01	5.512e-03	test
Sox2-hU6@03424	-3.582e+00	 2.017627	1.025e+01	5.517e-03	test
Sox2-hU6@09463	 1.401e+00	 5.263786	1.024e+01	5.546e-03	test
Sox2-hU6@24369	 1.403e+00	 4.789607	1.022e+01	5.571e-03	test
Sox2-hU6@03880	 1.289e+00	 5.675959	1.012e+01	5.798e-03	test
Sox2-hU6@00058	 1.776e+00	 5.644501	1.121e+01	5.959e-03	test
Sox2-hU6@26673	 1.505e+00	 4.703566	1.000e+01	5.977e-03	test
Sox2-hU6@01961	 2.458e+00	 4.212461	1.105e+01	6.012e-03	test
Sox2-hU6@24959	-2.138e+00	 3.483355	9.953e+00	6.081e-03	test
Sox2-hU6@07899	 1.334e+00	 5.037859	9.924e+00	6.141e-03	test
Sox2-hU6@21632	 9.353e-01	 6.684057	9.868e+00	6.257e-03	test
Sox2-hU6@21602	 2.020e+00	 3.442458	9.861e+00	6.271e-03	test
Sox2-hU6@03224	 2.853e+00	 3.463295	1.037e+01	6.502e-03	test
Sox2-hU6@13321	 1.608e+00	 4.603162	9.749e+00	6.527e-03	test
Sox2-hU6@03189	 1.651e+00	 4.834815	9.943e+00	6.541e-03	test
Sox2-hU6@23365	 5.797e+00	 0.826153	9.730e+00	6.554e-03	test
Sox2-hU6@19155	-1.727e+00	 4.621582	9.891e+00	6.604e-03	test
Sox2-hU6@21453	 3.812e+00	 1.965721	9.700e+00	6.619e-03	test
Sox2-hU6@07429	-1.458e+00	 4.568418	9.652e+00	6.729e-03	test
Sox2-hU6@11822	-2.836e+00	 2.586711	9.647e+00	6.741e-03	test
Sox2-hU6@06383	 2.331e+00	 3.399692	9.658e+00	6.757e-03	test
Sox2-hU6@20981	 9.464e-01	 6.885813	9.614e+00	6.815e-03	test
Sox2-hU6@15235	-1.363e+00	 5.172861	9.587e+00	6.878e-03	test
Sox2-hU6@10776	-1.821e+00	 3.743063	9.558e+00	6.947e-03	test
Sox2-hU6@00958	-2.620e+00	 3.159562	9.630e+00	7.002e-03	test
Sox2-hU6@19787	 1.459e+00	 4.874476	9.512e+00	7.056e-03	test
Sox2-hU6@05364	 2.260e+00	 4.381235	1.047e+01	7.087e-03	test
Sox2-hU6@23582	 1.749e+00	 4.059890	9.485e+00	7.121e-03	test
Sox2-hU6@01915	 1.248e+00	 5.096677	9.483e+00	7.127e-03	test
Sox2-hU6@13012	 1.125e+00	 6.018975	9.476e+00	7.143e-03	test
Sox2-hU6@26484	-2.572e+00	 2.824800	9.409e+00	7.309e-03	test
Sox2-hU6@01746	 2.552e+00	 4.562133	1.114e+01	7.369e-03	test
Sox2-hU6@02786	 2.905e+00	 2.553609	9.384e+00	7.372e-03	test
Sox2-hU6@24557	 1.350e+00	 5.951203	9.739e+00	7.508e-03	test
Sox2-hU6@09402	-1.384e+00	 4.650142	9.329e+00	7.512e-03	test
Sox2-hU6@22728	-1.091e+00	 6.049325	9.230e+00	7.772e-03	test
Sox2-hU6@08444	 1.834e+00	 4.851442	9.835e+00	7.787e-03	test
Sox2-hU6@08080	 1.177e+00	 5.508801	9.207e+00	7.833e-03	test
Sox2-hU6@16693	 1.100e+00	 5.711974	9.198e+00	7.858e-03	test
Sox2-hU6@08010	 1.598e+00	 6.076498	1.042e+01	7.870e-03	test
Sox2-hU6@04941	 2.656e+00	 3.176604	9.341e+00	7.923e-03	test
Sox2-hU6@22936	 1.249e+00	 6.419762	9.675e+00	7.934e-03	test
Sox2-hU6@05267	 2.676e+00	 3.604088	9.779e+00	7.991e-03	test
Sox2-hU6@13394	 1.505e+00	 4.270897	9.145e+00	8.003e-03	test
Sox2-hU6@13377	 1.940e+00	 3.889852	9.167e+00	8.048e-03	test
Sox2-hU6@23303	-1.214e+00	 5.218355	9.114e+00	8.090e-03	test
Sox2-hU6@03697	 9.872e-01	 6.371757	9.113e+00	8.094e-03	test
Sox2-hU6@16713	 1.573e+00	 5.801586	1.001e+01	8.105e-03	test
Sox2-hU6@11276	 1.328e+00	 6.955471	1.011e+01	8.124e-03	test
Sox2-hU6@13727	 1.868e+00	 5.519888	1.050e+01	8.134e-03	test
Sox2-hU6@21355	 2.002e+00	 4.119893	9.311e+00	8.239e-03	test
Sox2-hU6@25110	-1.280e+00	 5.059205	9.054e+00	8.260e-03	test
Sox2-hU6@07569	 1.266e+00	 5.480867	9.048e+00	8.336e-03	test
Sox2-hU6@06047	-2.935e+00	 3.086062	9.370e+00	8.352e-03	test
Sox2-hU6@11139	 2.153e+00	 3.332443	8.967e+00	8.515e-03	test
Sox2-hU6@08881	-9.354e-01	 6.283467	8.923e+00	8.647e-03	test
Sox2-hU6@18211	 1.859e+00	 6.150983	1.103e+01	8.652e-03	test
Sox2-hU6@24017	 1.393e+00	 5.637245	9.221e+00	8.681e-03	test
Sox2-hU6@25807	 2.147e+00	 3.201465	8.883e+00	8.768e-03	test
Sox2-hU6@16373	 8.982e-01	 6.484086	8.873e+00	8.799e-03	test
Sox2-hU6@21693	 1.026e+00	 6.324577	8.861e+00	8.837e-03	test
Sox2-hU6@01096	 3.327e+00	 2.761538	9.185e+00	8.961e-03	test
Sox2-hU6@08931	 1.197e+00	 6.220750	9.069e+00	8.975e-03	test
Sox2-hU6@08059	 1.112e+00	 6.196686	8.907e+00	8.982e-03	test
Sox2-hU6@04242	-7.606e+00	 0.331430	8.971e+00	8.989e-03	test
Sox2-hU6@13353	 1.202e+00	 5.918722	8.916e+00	9.097e-03	test
Sox2-hU6@16505	 1.807e+00	 4.047345	8.813e+00	9.102e-03	test
Sox2-hU6@17901	-2.553e+00	 2.718910	8.725e+00	9.270e-03	test
Sox2-hU6@16003	 9.612e-01	 6.290247	8.720e+00	9.286e-03	test
Sox2-hU6@13489	 1.192e+00	 5.218774	8.707e+00	9.329e-03	test
Sox2-hU6@17431	 1.315e+00	 6.565017	9.557e+00	9.337e-03	test
Sox2-hU6@01771	 1.133e+00	 5.787617	8.671e+00	9.451e-03	test
Sox2-hU6@01310	-1.866e+00	 3.492469	8.645e+00	9.536e-03	test
Sox2-hU6@03406	 1.469e+00	 4.311008	8.638e+00	9.562e-03	test
Sox2-hU6@07343	 1.265e+00	 6.153149	9.046e+00	9.659e-03	test
Sox2-hU6@27139	-1.350e+00	 4.911138	8.605e+00	9.673e-03	negative
Sox2-hU6@17153	 9.735e-01	 6.407965	8.552e+00	9.859e-03	test
Sox2-hU6@06752	-1.138e+00	 5.507227	8.548e+00	9.872e-03	test
Sox2-hU6@15347	 1.311e+00	 7.502565	9.665e+00	9.912e-03	test
Sox2-hU6@13380	 1.656e+00	 4.341998	8.602e+00	9.915e-03	test
Sox2-hU6@09222	-3.010e+00	 2.186327	8.531e+00	9.931e-03	test
Sox2-hU6@14838	 9.716e-01	 5.957163	8.507e+00	1.002e-02	test
Sox2-hU6@00270	-1.477e+00	 5.128818	8.715e+00	1.007e-02	test
Sox2-hU6@17975	 1.504e+00	 4.287550	8.490e+00	1.008e-02	test
Sox2-hU6@07173	-2.549e+00	 2.677175	8.469e+00	1.015e-02	test
Sox2-hU6@04683	-1.274e+00	 4.760666	8.464e+00	1.017e-02	test
Sox2-hU6@01560	 3.359e+00	 1.957361	8.432e+00	1.029e-02	test
Sox2-hU6@09592	 8.580e-01	 6.609853	8.395e+00	1.043e-02	test
Sox2-hU6@04222	 1.140e+00	 5.350038	8.385e+00	1.047e-02	test
Sox2-hU6@06440	-1.657e+00	 3.908365	8.384e+00	1.047e-02	test
Sox2-hU6@05019	 1.752e+00	 4.167261	8.463e+00	1.049e-02	test
Sox2-hU6@08320	 1.587e+00	 4.141365	8.371e+00	1.052e-02	test
Sox2-hU6@15559	 3.419e+00	 1.855386	8.346e+00	1.061e-02	test
Sox2-hU6@14636	 1.018e+00	 6.062932	8.341e+00	1.063e-02	test
Sox2-hU6@19626	 1.117e+00	 5.515848	8.301e+00	1.079e-02	test
Sox2-hU6@04644	-1.171e+00	 5.245615	8.289e+00	1.083e-02	test
Sox2-hU6@00544	 9.800e-01	 6.907231	8.381e+00	1.085e-02	test
Sox2-hU6@00167	 1.427e+00	 4.923841	8.356e+00	1.089e-02	test
Sox2-hU6@07307	 1.514e+00	 5.424034	8.776e+00	1.096e-02	test
Sox2-hU6@27056	-1.317e+00	 4.578574	8.250e+00	1.098e-02	negative
Sox2-hU6@19965	 8.763e-01	 6.394906	8.247e+00	1.100e-02	test
Sox2-hU6@19456	 1.296e+00	 5.415015	8.361e+00	1.103e-02	test
Sox2-hU6@08989	 1.357e+00	 4.631692	8.231e+00	1.106e-02	test
Sox2-hU6@24871	 8.449e-01	 6.784502	8.187e+00	1.124e-02	test
Sox2-hU6@18916	 1.819e+00	 4.821974	8.849e+00	1.129e-02	test
Sox2-hU6@18991	 1.186e+00	 5.777678	8.262e+00	1.132e-02	test
Sox2-hU6@22652	 1.642e+00	 3.940921	8.166e+00	1.133e-02	test
Sox2-hU6@13234	 1.244e+00	 5.818774	8.360e+00	1.134e-02	test
Sox2-hU6@00754	-1.658e+00	 3.750773	8.147e+00	1.141e-02	test
Sox2-hU6@04864	 2.114e+00	 5.023483	9.500e+00	1.141e-02	test
Sox2-hU6@23345	 9.603e-01	 5.984840	8.132e+00	1.147e-02	test
Sox2-hU6@19383	 1.052e+00	 5.683048	8.131e+00	1.147e-02	test
Sox2-hU6@05742	 1.434e+00	 4.296374	8.088e+00	1.165e-02	test
Sox2-hU6@11949	 8.006e-01	 7.110066	8.085e+00	1.167e-02	test
Sox2-hU6@07918	-2.050e+00	 3.257904	8.081e+00	1.168e-02	test
Sox2-hU6@00741	-1.462e+00	 4.292420	8.077e+00	1.170e-02	test
Sox2-hU6@13327	 1.279e+00	 4.738348	8.026e+00	1.192e-02	test
Sox2-hU6@13297	 1.961e+00	 3.199590	8.005e+00	1.201e-02	test
Sox2-hU6@00358	 1.155e+00	 5.035688	7.980e+00	1.212e-02	test
Sox2-hU6@07811	 8.691e-01	 6.385890	7.975e+00	1.214e-02	test
Sox2-hU6@04158	 2.691e+00	 2.690332	7.969e+00	1.219e-02	test
Sox2-hU6@07040	-2.040e+00	 3.324332	7.949e+00	1.226e-02	test
Sox2-hU6@13771	 1.438e+00	 4.506068	7.944e+00	1.228e-02	test
Sox2-hU6@21580	 1.679e+00	 3.643627	7.932e+00	1.234e-02	test
Sox2-hU6@19366	 1.213e+00	 6.357965	8.411e+00	1.239e-02	test
Sox2-hU6@16771	 1.184e+00	 5.221033	7.913e+00	1.242e-02	test
Sox2-hU6@06852	-2.211e+00	 2.889038	7.898e+00	1.249e-02	test
Sox2-hU6@17296	 2.040e+00	 3.668552	8.007e+00	1.258e-02	test
Sox2-hU6@19515	 2.489e+00	 2.669277	7.873e+00	1.261e-02	test
Sox2-hU6@17709	 1.394e+00	 4.486723	7.867e+00	1.264e-02	test
Sox2-hU6@24770	 1.293e+00	 4.713878	7.862e+00	1.266e-02	test
Sox2-hU6@02202	 1.708e+00	 4.173007	7.948e+00	1.268e-02	test
Sox2-hU6@09890	 1.033e+00	 5.786139	7.850e+00	1.272e-02	test
Sox2-hU6@24642	 1.278e+00	 4.881519	7.842e+00	1.275e-02	test
Sox2-hU6@25245	 3.533e+00	 2.108357	7.913e+00	1.278e-02	test
Sox2-hU6@23406	 1.322e+00	 4.800701	7.836e+00	1.278e-02	test
Sox2-hU6@17588	 1.884e+00	 4.397697	8.298e+00	1.281e-02	test
Sox2-hU6@21801	 8.852e-01	 6.493209	7.830e+00	1.281e-02	test
Sox2-hU6@04725	 1.102e+00	 5.211145	7.829e+00	1.282e-02	test
Sox2-hU6@16240	 1.053e+00	 5.733345	7.816e+00	1.288e-02	test
Sox2-hU6@21233	 9.168e-01	 6.745126	7.831e+00	1.288e-02	test
Sox2-hU6@04498	 2.248e+00	 5.287708	9.744e+00	1.293e-02	test
Sox2-hU6@06048	-1.429e+00	 4.229974	7.797e+00	1.297e-02	test
Sox2-hU6@16955	 8.821e-01	 6.402005	7.789e+00	1.301e-02	test
