S1.sgName	S1.Unsorted	S2.Unsorted	S1.GnMp	S2.GnMp	S1.GpMn	S2.GpMn	status.sox2
Sox2-hU6@27172	438	410	838	345	342	340	ineffective
Sox2-hU6@27173	102	220	216	109	62	129	ineffective
Sox2-hU6@27174	328	267	311	145	66	137	ineffective
Sox2-hU6@27175	17	32	15	63	21	230	ineffective
Sox2-hU6@27176	555	531	925	779	363	657	ineffective
Sox2-hU6@27177	517	764	882	618	319	1133	ineffective
Sox2-hU6@27178	33	30	28	8	14	25	ineffective
Sox2-hU6@27179	77	45	78	57	51	65	ineffective
Sox2-hU6@27180	368	315	583	281	256	391	ineffective
Sox2-hU6@27181	16	25	52	16	28	158	ineffective
Sox2-hU6@27182	1273	1386	1853	1190	962	1667	ineffective
Sox2-hU6@27183	549	580	805	454	280	453	ineffective
Sox2-hU6@27184	735	666	1085	683	510	714	ineffective
Sox2-hU6@27185	680	637	955	478	446	985	ineffective
Sox2-hU6@27186	358	463	553	554	118	299	ineffective
Sox2-hU6@27187	820	884	944	624	319	528	ineffective
Sox2-hU6@27188	25	84	58	25	43	15	ineffective
Sox2-hU6@27189	1	54	18	42	9	43	ineffective
Sox2-hU6@27190	508	773	790	327	543	418	ineffective
Sox2-hU6@27191	421	694	459	345	192	370	ineffective
Sox2-hU6@27192	429	329	541	331	174	378	ineffective
Sox2-hU6@27193	91	105	171	56	83	98	ineffective
Sox2-hU6@27194	221	369	224	89	123	288	ineffective
Sox2-hU6@27195	404	520	463	925	400	562	ineffective
Sox2-hU6@27196	111	226	153	410	45	232	ineffective
Sox2-hU6@27197	892	911	1443	956	342	994	ineffective
Sox2-hU6@27198	330	493	537	432	256	238	ineffective
Sox2-hU6@27199	1330	1680	1189	1030	596	817	ineffective
Sox2-hU6@27200	1185	1204	1861	914	495	1480	ineffective
Sox2-hU6@27201	583	471	558	250	206	297	ineffective
Sox2-hU6@27202	160	81	144	53	47	170	ineffective
Sox2-hU6@27203	486	552	863	594	447	591	ineffective
Sox2-hU6@27204	14	62	27	14	6	8	ineffective
Sox2-hU6@27205	738	439	926	509	335	722	ineffective
Sox2-hU6@27206	641	533	1120	722	281	510	ineffective
Sox2-hU6@27207	667	708	1042	488	221	968	ineffective
Sox2-hU6@27208	427	848	764	390	292	566	ineffective
Sox2-hU6@27209	292	319	584	149	195	152	ineffective
Sox2-hU6@27210	635	958	841	480	342	499	ineffective
Sox2-hU6@27211	217	128	592	328	187	243	ineffective
Sox2-hU6@27212	989	1131	1537	825	479	777	ineffective
Sox2-hU6@27213	341	320	474	629	117	193	ineffective
Sox2-hU6@27214	461	471	915	309	52	303	ineffective
Sox2-hU6@27215	976	2371	1725	1663	436	2010	ineffective
Sox2-hU6@27216	132	328	329	219	116	226	ineffective
Sox2-hU6@27217	1405	1944	2813	1412	1024	1797	ineffective
Sox2-hU6@27218	195	203	149	146	100	116	ineffective
Sox2-hU6@27219	105	249	464	178	122	217	ineffective
Sox2-hU6@27220	198	85	168	78	28	188	ineffective
Sox2-hU6@27221	472	633	726	329	273	1892	ineffective
Sox2-hU6@27222	1170	913	1342	917	759	1116	ineffective
Sox2-hU6@27223	10	51	40	18	10	1	ineffective
Sox2-hU6@27224	169	142	188	135	155	68	ineffective
Sox2-hU6@27225	330	539	474	387	159	365	ineffective
Sox2-hU6@27226	328	315	423	182	210	289	ineffective
Sox2-hU6@27227	618	580	1484	593	304	592	ineffective
Sox2-hU6@27228	1044	1133	1478	688	843	1123	ineffective
Sox2-hU6@27229	50	89	229	106	24	268	ineffective
Sox2-hU6@27230	865	1418	1468	1223	431	941	ineffective
Sox2-hU6@27231	717	1106	1355	652	514	947	ineffective
Sox2-hU6@27232	66	92	78	42	15	38	ineffective
Sox2-hU6@27233	256	359	390	163	204	237	ineffective
Sox2-hU6@27234	87	189	77	21	43	94	ineffective
Sox2-hU6@27235	336	390	468	240	215	606	ineffective
Sox2-hU6@27236	52	28	126	22	32	51	ineffective
Sox2-hU6@27237	599	585	884	236	366	554	ineffective
Sox2-hU6@27238	563	839	1250	887	373	684	ineffective
Sox2-hU6@27239	487	380	622	712	369	517	ineffective
Sox2-hU6@27240	383	535	449	262	186	203	ineffective
Sox2-hU6@27241	623	1120	661	753	371	734	ineffective
Sox2-hU6@27242	0	136	17	14	7	5	ineffective
Sox2-hU6@27243	282	758	617	347	182	428	ineffective
Sox2-hU6@27244	552	486	798	641	363	533	ineffective
Sox2-hU6@27245	511	495	641	224	138	753	ineffective
Sox2-hU6@27246	161	190	366	125	79	133	ineffective
Sox2-hU6@27247	566	705	878	366	271	441	ineffective
Sox2-hU6@27248	573	685	956	573	347	488	ineffective
Sox2-hU6@27249	401	518	476	218	104	315	ineffective
Sox2-hU6@27250	434	561	890	725	258	383	ineffective
Sox2-hU6@27251	686	932	1065	893	318	1085	ineffective
Sox2-hU6@27252	15	79	43	9	0	25	ineffective
Sox2-hU6@27253	16	60	29	20	5	48	ineffective
Sox2-hU6@27254	104	122	178	79	60	901	ineffective
Sox2-hU6@27255	267	411	463	219	152	203	ineffective
Sox2-hU6@27256	0	62	70	27	27	70	ineffective
Sox2-hU6@27257	449	579	808	839	334	329	ineffective
Sox2-hU6@27258	752	1416	962	756	522	752	ineffective
Sox2-hU6@27259	38	98	87	30	8	15	ineffective
Sox2-hU6@27260	370	490	422	206	249	744	ineffective
Sox2-hU6@27261	47	111	69	32	37	37	ineffective
Sox2-hU6@27262	719	679	774	330	226	325	ineffective
Sox2-hU6@27263	27	50	110	7	2	364	ineffective
Sox2-hU6@27264	353	642	651	406	138	443	ineffective
Sox2-hU6@27265	173	190	386	162	45	191	ineffective
Sox2-hU6@27266	698	651	1252	520	433	677	ineffective
Sox2-hU6@27267	824	1101	1265	1119	515	1275	ineffective
Sox2-hU6@27268	16	44	0	47	9	2	ineffective
Sox2-hU6@27269	977	1922	2119	881	571	1317	ineffective
Sox2-hU6@27270	229	319	301	228	79	302	ineffective
Sox2-hU6@27271	443	586	553	400	373	438	ineffective
Sox2-hU6@27272	180	168	161	81	84	113	ineffective
Sox2-hU6@27273	1236	1132	1374	957	647	885	ineffective
Sox2-hU6@27274	275	233	316	521	151	113	ineffective
Sox2-hU6@27275	339	358	699	195	147	447	ineffective
Sox2-hU6@27276	448	479	1447	582	291	434	ineffective
Sox2-hU6@27277	91	57	198	177	38	95	ineffective
Sox2-hU6@27278	754	1258	1225	595	340	932	ineffective
Sox2-hU6@27279	1154	1211	1541	1266	768	810	ineffective
Sox2-hU6@27280	169	111	183	194	17	52	ineffective
Sox2-hU6@27281	732	620	891	578	244	1583	ineffective
Sox2-hU6@27282	86	112	52	25	11	42	ineffective
Sox2-hU6@27283	788	1084	698	890	433	1114	ineffective
Sox2-hU6@27284	218	217	380	556	92	303	ineffective
Sox2-hU6@27285	403	350	611	229	316	294	ineffective
Sox2-hU6@27286	136	96	121	119	83	139	ineffective
Sox2-hU6@27287	123	272	153	77	202	112	ineffective
Sox2-hU6@27288	849	942	1575	756	433	2143	ineffective
Sox2-hU6@27289	5	13	32	16	24	13	ineffective
Sox2-hU6@27290	199	536	341	226	81	244	ineffective
Sox2-hU6@27291	373	539	514	301	155	263	ineffective
Sox2-hU6@27292	3	16	16	2	1	4	ineffective
Sox2-hU6@27293	1032	1273	1522	939	531	917	ineffective
Sox2-hU6@27294	78	173	5718	6860	62	713	posMcherry
Sox2-hU6@27295	926	1326	29641	30134	406	3024	posMcherry
Sox2-hU6@27296	406	394	12996	14141	137	1426	posMcherry
Sox2-hU6@27297	440	401	16352	10907	143	1397	posMcherry
Sox2-hU6@27298	854	611	25292	20939	354	2643	posMcherry
Sox2-hU6@27299	112	306	119	462	1266	3996	posGPF
Sox2-hU6@27300	9	40	38	112	16	297	posGPF
Sox2-hU6@27301	145	320	192	300	699	3582	posGPF
Sox2-hU6@27302	38	36	46	151	38	312	posGPF
Sox2-hU6@27303	1024	2000	1079	1200	6769	18434	posGPF
Sox2-hU6@27304	470	446	14801	15671	174	1749	posMcherry
Sox2-hU6@27305	1022	1596	39573	48106	388	4345	posMcherry
Sox2-hU6@27306	170	157	6441	5582	64	629	posMcherry
Sox2-hU6@27307	349	491	18546	14131	151	2105	posMcherry
Sox2-hU6@27308	74	59	292	350	41	168	posMcherry
Sox2-hU6@27309	25	71	65	261	528	1304	posGPF
Sox2-hU6@27310	116	185	78	201	487	1368	posGPF
Sox2-hU6@27311	216	821	283	794	1860	7863	posGPF
Sox2-hU6@27312	151	733	172	974	1963	6100	posGPF
Sox2-hU6@27313	266	387	153	638	3272	6767	posGPF
