logFC	logCPM	F	PValue	status
Sox2-hU6@00076	 1.190e+00	 2.623722	1.098e+00	3.117e-01	test
Sox2-hU6@00077	-6.935e-01	 1.048547	2.449e-01	6.279e-01	test
Sox2-hU6@00078	-2.090e-01	 2.664489	5.715e-02	8.143e-01	test
Sox2-hU6@00079	-3.125e-01	 3.876932	2.199e-01	6.459e-01	test
Sox2-hU6@00080	 2.548e-01	 6.015130	3.994e-01	5.370e-01	test
Sox2-hU6@00081	 5.314e-01	 4.225284	7.280e-01	4.071e-01	test
Sox2-hU6@00082	 1.599e-01	 4.847289	1.311e-01	7.224e-01	test
Sox2-hU6@00083	-6.003e-01	 6.274360	3.156e+00	9.606e-02	test
Sox2-hU6@00084	 9.255e-01	 5.287136	3.234e+00	9.289e-02	test
Sox2-hU6@00085	-3.244e-01	 3.064625	1.600e-01	6.948e-01	test
Sox2-hU6@00086	 1.727e-01	 4.812987	1.510e-01	7.031e-01	test
Sox2-hU6@00087	 4.486e-01	 4.091684	3.821e-01	5.463e-01	test
Sox2-hU6@00088	-8.625e-01	 0.997528	4.243e-01	5.247e-01	test
Sox2-hU6@00089	-2.134e-01	 4.504660	1.405e-01	7.131e-01	test
Sox2-hU6@00090	 1.824e+00	 3.008268	5.236e+00	3.714e-02	test
Sox2-hU6@00091	-4.284e-01	 4.952963	6.563e-01	4.308e-01	test
Sox2-hU6@00092	 9.956e-01	 3.235613	1.703e+00	2.117e-01	test
Sox2-hU6@00093	 7.130e-01	 3.826677	1.286e+00	2.747e-01	test
Sox2-hU6@00094	-1.104e+00	 2.767246	1.697e+00	2.124e-01	test
Sox2-hU6@00095	 1.686e-01	 7.541598	3.878e-01	5.429e-01	test
Sox2-hU6@00096	-2.674e-01	 5.651642	5.216e-01	4.813e-01	test
Sox2-hU6@00097	-1.648e-01	 5.145056	1.482e-01	7.057e-01	test
Sox2-hU6@00098	-5.297e-01	 5.907034	2.029e+00	1.749e-01	test
Sox2-hU6@00099	-1.299e-01	 5.684868	1.294e-01	7.241e-01	test
Sox2-hU6@00100	 4.027e-01	 5.469354	1.031e+00	3.262e-01	test
Sox2-hU6@00101	 4.962e-01	 5.172777	1.467e+00	2.447e-01	test
Sox2-hU6@00102	 1.909e-01	 6.630052	3.419e-01	5.675e-01	test
Sox2-hU6@00103	-7.185e-02	 6.604056	5.908e-02	8.113e-01	test
Sox2-hU6@00104	-2.413e-01	 5.063321	2.448e-01	6.280e-01	test
Sox2-hU6@00105	 2.014e-02	 6.490282	4.230e-03	9.490e-01	test
Sox2-hU6@00106	-1.238e-01	 6.551551	1.573e-01	6.973e-01	test
Sox2-hU6@00107	 4.909e-01	 3.576168	5.375e-01	4.748e-01	test
Sox2-hU6@00108	-1.111e+00	 2.263436	1.129e+00	3.049e-01	test
Sox2-hU6@00109	 9.730e-01	 4.481457	2.732e+00	1.194e-01	test
Sox2-hU6@00110	 2.842e-01	 5.403573	4.978e-01	4.913e-01	test
Sox2-hU6@00111	-7.615e-01	 5.519603	3.910e+00	6.679e-02	test
Sox2-hU6@00112	 1.031e-01	 5.991675	8.558e-02	7.739e-01	test
Sox2-hU6@00113	 6.495e-01	 2.584822	5.426e-01	4.728e-01	test
Sox2-hU6@00114	-7.555e-02	 5.650334	3.980e-02	8.446e-01	test
Sox2-hU6@00115	 9.750e-01	 0.983294	4.579e-01	5.090e-01	test
Sox2-hU6@00116	-1.087e+00	 3.666443	2.877e+00	1.106e-01	test
Sox2-hU6@00117	 4.550e-01	 4.801444	9.973e-01	3.339e-01	test
Sox2-hU6@00118	 3.388e-01	 7.115715	1.487e+00	2.416e-01	test
Sox2-hU6@00119	 1.619e-01	 6.783180	2.610e-01	6.169e-01	test
Sox2-hU6@00120	 3.436e-01	 3.844294	2.852e-01	6.012e-01	test
Sox2-hU6@00121	-1.360e-01	 5.133468	1.058e-01	7.495e-01	test
Sox2-hU6@00122	 4.472e-02	 2.823472	2.322e-03	9.622e-01	test
Sox2-hU6@00123	 1.296e-02	 5.729313	1.188e-03	9.730e-01	test
Sox2-hU6@00124	-3.092e-01	 3.869319	2.677e-01	6.125e-01	test
Sox2-hU6@00125	-5.068e-01	 5.910363	2.016e+00	1.762e-01	test
Sox2-hU6@00126	 7.790e-01	 6.746579	4.169e+00	5.979e-02	test
Sox2-hU6@00127	-9.287e-02	 6.253072	7.616e-02	7.864e-01	test
Sox2-hU6@00128	-7.930e-01	 2.300740	6.817e-01	4.220e-01	test
Sox2-hU6@00129	-4.995e-01	 4.188977	8.357e-01	3.752e-01	test
Sox2-hU6@00130	 5.950e-01	 4.982889	1.583e+00	2.277e-01	test
Sox2-hU6@00131	 4.024e-01	 3.496836	2.649e-01	6.143e-01	test
Sox2-hU6@00132	-2.886e+00	 2.108305	6.092e+00	2.617e-02	test
Sox2-hU6@00133	 2.298e-01	 5.577765	2.985e-01	5.929e-01	test
Sox2-hU6@00134	 3.021e-01	 6.576062	1.011e+00	3.307e-01	test
Sox2-hU6@00135	-1.350e-01	 5.753211	1.039e-01	7.516e-01	test
Sox2-hU6@00136	 8.985e-01	 2.475679	9.624e-01	3.422e-01	test
Sox2-hU6@00137	-4.986e-01	 5.574857	1.683e+00	2.142e-01	test
Sox2-hU6@00138	 2.544e+00	 4.445289	7.283e+00	2.300e-02	test
Sox2-hU6@00139	 1.134e+00	 3.471178	1.934e+00	1.848e-01	test
Sox2-hU6@00140	-2.819e-02	 7.526105	1.021e-02	9.209e-01	test
Sox2-hU6@00141	-4.216e-02	 5.535770	1.067e-02	9.191e-01	test
Sox2-hU6@00142	 1.382e-01	 3.971701	5.598e-02	8.162e-01	test
Sox2-hU6@00143	-5.923e-02	 5.108541	1.984e-02	8.899e-01	test
Sox2-hU6@00144	 1.265e-01	 6.187461	1.530e-01	7.012e-01	test
Sox2-hU6@00145	-2.250e+00	 2.721912	4.607e+00	4.870e-02	test
Sox2-hU6@00146	 5.336e-01	 5.566409	1.767e+00	2.037e-01	test
Sox2-hU6@00147	-3.331e-02	 6.628831	1.234e-02	9.130e-01	test
Sox2-hU6@00148	 4.476e-01	 5.769014	1.332e+00	2.667e-01	test
Sox2-hU6@00149	-1.747e-01	 4.794939	1.552e-01	6.992e-01	test
Sox2-hU6@00150	 6.760e-01	 4.508183	1.480e+00	2.426e-01	test
Sox2-hU6@00151	 1.258e-01	 4.073344	5.041e-02	8.254e-01	test
Sox2-hU6@00152	 3.954e-01	 5.141341	7.442e-01	4.020e-01	test
Sox2-hU6@00153	-9.274e-02	 5.446703	5.744e-02	8.139e-01	test
Sox2-hU6@00154	-1.504e-01	 5.329738	1.326e-01	7.209e-01	test
Sox2-hU6@00155	 7.986e-01	 5.622731	4.487e+00	5.137e-02	test
Sox2-hU6@00156	 4.734e-01	 5.702434	1.534e+00	2.346e-01	test
Sox2-hU6@00157	-5.156e-01	 1.007601	1.026e-01	7.533e-01	test
Sox2-hU6@00158	-5.427e-01	 4.815600	1.477e+00	2.432e-01	test
Sox2-hU6@00159	 2.034e-01	 4.421572	1.495e-01	7.045e-01	test
Sox2-hU6@00160	 2.244e+00	 3.572550	9.971e+00	6.541e-03	test
Sox2-hU6@00161	 1.763e-01	 4.495706	1.200e-01	7.338e-01	test
Sox2-hU6@00162	-1.509e+00	 3.765904	5.214e+00	3.749e-02	test
Sox2-hU6@00163	-9.763e-02	 5.223924	5.678e-02	8.149e-01	test
Sox2-hU6@00164	-4.215e-01	 1.790269	1.428e-01	7.108e-01	test
Sox2-hU6@00165	 3.527e-01	 3.931032	3.297e-01	5.744e-01	test
Sox2-hU6@00166	 2.946e-01	 5.001776	4.142e-01	5.296e-01	test
Sox2-hU6@00167	 1.568e+00	 5.036192	6.943e+00	1.950e-02	test
Sox2-hU6@00168	 7.082e-01	 4.310009	1.701e+00	2.119e-01	test
Sox2-hU6@00169	-7.684e-02	 5.165502	3.503e-02	8.541e-01	test
Sox2-hU6@00170	 1.800e+00	 2.864793	2.467e+00	1.384e-01	test
Sox2-hU6@00171	 2.861e-02	 4.607417	3.261e-03	9.552e-01	test
Sox2-hU6@00172	 3.871e-02	 6.277136	1.425e-02	9.066e-01	test
Sox2-hU6@00173	-3.002e-01	 5.046230	4.166e-01	5.284e-01	test
Sox2-hU6@00174	 2.380e-01	 3.396484	7.364e-02	7.899e-01	test
Sox2-hU6@00175	-2.407e-01	 5.057654	3.142e-01	5.835e-01	test
Sox2-hU6@00176	-8.415e-01	 3.411311	1.406e+00	2.543e-01	test
Sox2-hU6@00177	 2.683e-01	 5.365524	2.315e-01	6.380e-01	test
Sox2-hU6@00178	 3.854e-01	 4.238914	4.147e-01	5.293e-01	test
Sox2-hU6@00179	 4.932e-01	 3.465749	4.565e-01	5.096e-01	test
Sox2-hU6@00180	 1.893e-01	 5.122546	1.568e-01	6.977e-01	test
Sox2-hU6@00181	 7.684e-02	 1.503716	4.214e-03	9.491e-01	test
Sox2-hU6@00182	 2.239e-01	 3.892105	1.031e-01	7.526e-01	test
Sox2-hU6@00183	-5.438e-01	 2.342266	3.169e-01	5.819e-01	test
Sox2-hU6@00184	 1.059e+00	 5.121163	6.392e+00	2.325e-02	test
Sox2-hU6@00185	 2.109e-02	 5.526479	2.705e-03	9.592e-01	test
Sox2-hU6@00186	-8.156e-01	 2.917538	1.049e+00	3.220e-01	test
Sox2-hU6@00187	-4.822e-01	 5.552329	1.462e+00	2.455e-01	test
Sox2-hU6@00188	 6.000e-03	 5.707608	2.327e-04	9.880e-01	test
Sox2-hU6@00189	 8.475e-01	 2.625428	9.352e-01	3.489e-01	test
Sox2-hU6@00190	 1.236e+00	 6.150207	1.010e+01	6.270e-03	test
Sox2-hU6@00191	-4.495e-01	 5.286809	1.255e+00	2.804e-01	test
Sox2-hU6@00192	-2.448e-01	 5.659012	4.564e-01	5.097e-01	test
Sox2-hU6@00193	-1.758e-04	 6.984382	3.524e-07	9.995e-01	test
Sox2-hU6@00194	-5.059e-01	 6.702849	2.999e+00	1.039e-01	test
Sox2-hU6@00195	 2.885e-01	 5.070266	4.417e-01	5.164e-01	test
Sox2-hU6@00196	-9.298e-01	 3.425336	1.479e+00	2.429e-01	test
Sox2-hU6@00197	-7.251e-02	 3.620523	1.024e-02	9.207e-01	test
Sox2-hU6@00198	 1.130e+00	 5.510803	7.539e+00	1.507e-02	test
Sox2-hU6@00199	-1.555e-01	 5.226301	1.258e-01	7.277e-01	test
Sox2-hU6@00200	-1.534e-01	 6.378549	2.145e-01	6.499e-01	test
Sox2-hU6@00201	-6.452e-02	 6.422300	4.409e-02	8.365e-01	test
Sox2-hU6@00202	 8.953e-01	 4.040788	1.292e+00	2.750e-01	test
Sox2-hU6@00203	 1.458e-01	 5.125813	1.107e-01	7.440e-01	test
Sox2-hU6@00204	 4.813e-02	 4.768822	1.102e-02	9.178e-01	test
Sox2-hU6@00205	 7.033e-01	 3.676871	1.198e+00	2.912e-01	test
Sox2-hU6@00206	-2.833e-01	 4.110399	1.620e-01	6.931e-01	test
Sox2-hU6@00207	 1.023e+00	 3.558870	2.377e+00	1.440e-01	test
Sox2-hU6@00208	 6.598e-01	 3.663660	1.083e+00	3.147e-01	test
Sox2-hU6@00209	 1.361e+00	 1.884259	1.245e+00	2.821e-01	test
Sox2-hU6@00210	 2.099e-01	 7.380773	5.767e-01	4.595e-01	test
Sox2-hU6@00211	 3.615e-01	 4.833689	6.154e-01	4.451e-01	test
Sox2-hU6@00212	 1.404e+00	 4.736580	8.225e+00	1.179e-02	test
Sox2-hU6@00213	-1.276e-01	 3.006878	2.416e-02	8.786e-01	test
Sox2-hU6@00214	 1.763e+00	 8.535289	3.277e+00	1.442e-01	test
Sox2-hU6@00215	 3.508e-01	 5.890795	1.000e+00	3.332e-01	test
Sox2-hU6@00216	 8.713e-02	 5.949393	4.174e-02	8.410e-01	test
Sox2-hU6@00217	 1.134e-01	 5.300999	6.174e-02	8.072e-01	test
Sox2-hU6@00218	 2.128e-01	 5.171947	2.679e-01	6.123e-01	test
Sox2-hU6@00219	 2.544e-01	 5.619904	4.568e-01	5.095e-01	test
Sox2-hU6@00220	 7.516e-02	 6.043379	4.626e-02	8.326e-01	test
Sox2-hU6@00221	 1.193e-01	 6.353974	1.442e-01	7.095e-01	test
Sox2-hU6@00222	 1.662e-01	 2.225494	2.155e-02	8.853e-01	test
Sox2-hU6@00223	 1.577e-01	 6.285746	2.271e-01	6.406e-01	test
Sox2-hU6@00224	 5.043e-01	 5.266648	1.072e+00	3.170e-01	test
Sox2-hU6@00225	 1.382e+00	 2.914858	2.681e+00	1.224e-01	test
Sox2-hU6@00226	 2.547e-01	 5.920939	3.416e-01	5.679e-01	test
Sox2-hU6@00227	-3.889e-01	 5.123127	8.066e-01	3.834e-01	test
Sox2-hU6@00228	 6.204e-01	 3.325193	6.889e-01	4.196e-01	test
Sox2-hU6@00229	-7.056e-01	 4.864711	2.258e+00	1.538e-01	test
Sox2-hU6@00230	 4.924e-01	 4.671805	6.943e-01	4.181e-01	test
Sox2-hU6@00231	 3.112e-01	 6.074194	7.591e-01	3.974e-01	test
Sox2-hU6@00232	 9.967e-02	 5.594096	4.938e-02	8.272e-01	test
Sox2-hU6@00233	-5.598e-01	 4.626621	1.425e+00	2.513e-01	test
Sox2-hU6@00234	 6.373e-01	 4.141722	1.041e+00	3.239e-01	test
Sox2-hU6@00235	-1.929e-01	 5.158633	2.041e-01	6.579e-01	test
Sox2-hU6@00236	 3.952e-01	 3.684496	3.850e-01	5.443e-01	test
Sox2-hU6@00237	 1.385e-01	 3.019609	2.692e-02	8.719e-01	test
Sox2-hU6@00238	 5.021e-01	 2.940046	3.791e-01	5.474e-01	test
Sox2-hU6@00239	-3.162e-01	 4.116993	3.249e-01	5.771e-01	test
Sox2-hU6@00240	 2.723e-01	 5.484891	5.110e-01	4.857e-01	test
Sox2-hU6@00241	 1.728e-01	 5.418355	1.922e-01	6.674e-01	test
Sox2-hU6@00242	 2.068e-01	 5.473788	2.860e-01	6.007e-01	test
Sox2-hU6@00243	 7.172e-01	 4.455178	1.888e+00	1.898e-01	test
Sox2-hU6@00244	 5.760e-01	 2.878080	5.020e-01	4.895e-01	test
Sox2-hU6@00245	 1.789e-02	 4.998742	1.714e-03	9.675e-01	test
Sox2-hU6@00246	 7.576e-02	 1.495563	3.980e-03	9.505e-01	test
Sox2-hU6@00247	 3.371e-01	 5.219130	6.979e-01	4.167e-01	test
Sox2-hU6@00248	 7.255e-01	 4.495936	1.336e+00	2.663e-01	test
Sox2-hU6@00249	 2.422e-01	 4.993628	3.168e-01	5.819e-01	test
Sox2-hU6@00250	 5.550e-02	 5.743418	1.134e-02	9.168e-01	test
Sox2-hU6@00251	-6.412e-01	 6.762289	4.091e+00	6.142e-02	test
Sox2-hU6@00252	-7.259e-01	 3.120483	9.081e-01	3.558e-01	test
Sox2-hU6@00253	 8.878e-02	 3.655732	1.477e-02	9.049e-01	test
Sox2-hU6@00254	-3.781e-01	 2.747345	2.062e-01	6.563e-01	test
Sox2-hU6@00255	 2.780e-01	 3.864946	1.316e-01	7.220e-01	test
Sox2-hU6@00256	 1.675e-01	 5.149814	1.399e-01	7.136e-01	test
