logFC	logCPM	F	PValue	status
Sox2-hU6@00076	 8.796e-01	 2.499527	6.584e-01	4.296e-01	test
Sox2-hU6@00077	-1.947e-01	 1.162938	2.894e-02	8.670e-01	test
Sox2-hU6@00078	 5.384e-01	 3.111601	5.987e-01	4.500e-01	test
Sox2-hU6@00079	-6.623e-01	 3.614274	1.048e+00	3.207e-01	test
Sox2-hU6@00080	 7.644e-03	 5.880341	4.485e-04	9.834e-01	test
Sox2-hU6@00081	 1.062e+00	 4.708196	1.911e+00	1.952e-01	test
Sox2-hU6@00082	 7.152e-02	 4.802726	3.429e-02	8.553e-01	test
Sox2-hU6@00083	-7.026e-01	 6.109713	5.668e+00	2.957e-02	test
Sox2-hU6@00084	 9.025e-01	 5.399415	3.542e+00	7.851e-02	test
Sox2-hU6@00085	 1.913e-01	 3.331729	8.922e-02	7.689e-01	test
Sox2-hU6@00086	 4.669e-02	 4.745370	1.467e-02	9.051e-01	test
Sox2-hU6@00087	 1.529e-01	 3.948021	5.878e-02	8.115e-01	test
Sox2-hU6@00088	 1.251e-01	 1.418746	1.132e-02	9.165e-01	test
Sox2-hU6@00089	-2.968e-01	 4.406164	3.775e-01	5.473e-01	test
Sox2-hU6@00090	 1.409e+00	 2.888202	3.686e+00	7.225e-02	test
Sox2-hU6@00091	-2.193e-01	 4.997798	2.481e-01	6.250e-01	test
Sox2-hU6@00092	 1.014e+00	 3.386604	2.609e+00	1.252e-01	test
Sox2-hU6@00093	 5.353e-01	 3.800135	8.601e-01	3.670e-01	test
Sox2-hU6@00094	-7.315e-01	 2.754950	1.152e+00	2.985e-01	test
Sox2-hU6@00095	 6.823e-02	 7.522146	7.923e-02	7.818e-01	test
Sox2-hU6@00096	-3.890e-01	 5.521564	1.485e+00	2.401e-01	test
Sox2-hU6@00097	-3.266e-01	 5.009778	7.550e-01	3.973e-01	test
Sox2-hU6@00098	-3.589e-01	 5.897457	1.281e+00	2.738e-01	test
Sox2-hU6@00099	-2.735e-01	 5.561404	6.591e-01	4.284e-01	test
Sox2-hU6@00100	 4.879e-01	 5.583743	1.939e+00	1.822e-01	test
Sox2-hU6@00101	 2.493e-01	 5.061774	4.526e-01	5.104e-01	test
Sox2-hU6@00102	 2.687e-01	 6.703351	8.722e-01	3.638e-01	test
Sox2-hU6@00103	-1.638e-01	 6.522396	3.424e-01	5.663e-01	test
Sox2-hU6@00104	-2.537e-01	 5.005660	3.878e-01	5.419e-01	test
