logFC	logCPM	F	PValue	status
Sox2-hU6@00076	 3.608e-01	 2.089093	9.451e-02	7.628e-01	test
Sox2-hU6@00077	 7.914e-02	 1.326002	3.856e-03	9.512e-01	test
Sox2-hU6@00078	 1.022e+00	 3.338824	2.258e+00	1.522e-01	test
Sox2-hU6@00079	-1.138e+00	 3.560539	2.358e+00	1.457e-01	test
Sox2-hU6@00080	-2.700e-01	 5.743458	5.956e-01	4.514e-01	test
Sox2-hU6@00081	 1.514e+00	 4.867400	3.932e+00	7.984e-02	test
Sox2-hU6@00082	-2.373e-02	 4.742535	2.841e-03	9.581e-01	test
Sox2-hU6@00083	-8.053e-01	 6.184818	5.602e+00	3.078e-02	test
Sox2-hU6@00084	 9.325e-01	 5.281839	4.326e+00	5.446e-02	test
Sox2-hU6@00085	 5.744e-01	 3.510696	8.305e-01	3.755e-01	test
Sox2-hU6@00086	-8.514e-02	 4.671510	3.667e-02	8.505e-01	test
Sox2-hU6@00087	-2.083e-01	 3.743222	1.306e-01	7.225e-01	test
Sox2-hU6@00088	 7.048e-01	 1.654533	3.063e-01	5.879e-01	test
Sox2-hU6@00089	-3.927e-01	 4.416166	4.903e-01	4.944e-01	test
Sox2-hU6@00090	 8.281e-01	 2.301648	8.421e-01	3.723e-01	test
Sox2-hU6@00091	-2.946e-02	 5.122210	3.508e-03	9.536e-01	test
Sox2-hU6@00092	 1.043e+00	 3.258904	2.301e+00	1.487e-01	test
Sox2-hU6@00093	 3.753e-01	 3.618975	3.362e-01	5.701e-01	test
Sox2-hU6@00094	-4.326e-01	 2.996413	3.415e-01	5.671e-01	test
Sox2-hU6@00095	-1.679e-02	 7.435846	3.573e-03	9.531e-01	test
Sox2-hU6@00096	-5.176e-01	 5.532591	2.002e+00	1.761e-01	test
Sox2-hU6@00097	-4.965e-01	 4.986493	1.301e+00	2.707e-01	test
Sox2-hU6@00098	-1.920e-01	 6.045104	2.956e-01	5.941e-01	test
Sox2-hU6@00099	-4.383e-01	 5.534642	1.270e+00	2.763e-01	test
Sox2-hU6@00100	 5.473e-01	 5.542223	2.073e+00	1.691e-01	test
Sox2-hU6@00101	-4.706e-02	 4.870612	1.271e-02	9.116e-01	test
Sox2-hU6@00102	 4.114e-01	 6.742370	1.440e+00	2.485e-01	test
Sox2-hU6@00103	-2.890e-01	 6.491557	7.840e-01	3.889e-01	test
Sox2-hU6@00104	-2.458e-01	 5.048797	2.704e-01	6.105e-01	test
Sox2-hU6@00105	-3.292e-01	 6.315114	1.090e+00	3.118e-01	test
