logFC	logCPM	F	PValue	status
Sox2-hU6@00076	 1.145e+00	 2.578660	9.203e-01	3.541e-01	test
Sox2-hU6@00077	-1.036e+00	 0.963922	4.176e-01	5.286e-01	test
Sox2-hU6@00078	-2.694e-01	 2.649121	8.677e-02	7.727e-01	test
Sox2-hU6@00079	-3.252e-01	 3.876826	2.352e-01	6.352e-01	test
Sox2-hU6@00080	 2.485e-01	 6.015334	3.730e-01	5.512e-01	test
Sox2-hU6@00081	 5.247e-01	 4.224248	7.014e-01	4.165e-01	test
Sox2-hU6@00082	 1.496e-01	 4.844585	1.158e-01	7.387e-01	test
Sox2-hU6@00083	-5.879e-01	 6.282004	3.005e+00	1.050e-01	test
Sox2-hU6@00084	 9.160e-01	 5.283718	3.068e+00	1.023e-01	test
Sox2-hU6@00085	-3.606e-01	 3.059695	1.858e-01	6.731e-01	test
Sox2-hU6@00086	 1.628e-01	 4.810493	1.361e-01	7.177e-01	test
Sox2-hU6@00087	 4.414e-01	 4.089273	3.523e-01	5.628e-01	test
Sox2-hU6@00088	-1.222e+00	 0.933372	6.422e-01	4.364e-01	test
Sox2-hU6@00089	-2.229e-01	 4.504103	1.509e-01	7.036e-01	test
Sox2-hU6@00090	 1.809e+00	 2.992371	4.886e+00	4.428e-02	test
Sox2-hU6@00091	-4.334e-01	 4.955308	6.539e-01	4.324e-01	test
Sox2-hU6@00092	 9.791e-01	 3.220992	1.581e+00	2.293e-01	test
Sox2-hU6@00093	 7.060e-01	 3.825799	1.260e+00	2.806e-01	test
Sox2-hU6@00094	-1.191e+00	 2.755702	1.820e+00	1.988e-01	test
Sox2-hU6@00095	 1.644e-01	 7.541541	3.874e-01	5.437e-01	test
Sox2-hU6@00096	-2.648e-01	 5.656215	5.113e-01	4.864e-01	test
Sox2-hU6@00097	-1.635e-01	 5.149081	1.447e-01	7.093e-01	test
Sox2-hU6@00098	-5.262e-01	 5.912061	1.993e+00	1.800e-01	test
Sox2-hU6@00099	-1.280e-01	 5.688658	1.260e-01	7.280e-01	test
Sox2-hU6@00100	 4.152e-01	 5.478240	1.096e+00	3.130e-01	test
Sox2-hU6@00101	 4.984e-01	 5.176293	1.481e+00	2.437e-01	test
Sox2-hU6@00102	 2.159e-01	 6.645253	4.330e-01	5.212e-01	test
Sox2-hU6@00103	-5.773e-02	 6.613539	3.894e-02	8.464e-01	test
Sox2-hU6@00104	-2.457e-01	 5.064729	2.485e-01	6.259e-01	test
Sox2-hU6@00105	 3.180e-02	 6.498820	1.057e-02	9.196e-01	test
Sox2-hU6@00106	-1.020e-01	 6.564157	1.060e-01	7.495e-01	test
Sox2-hU6@00107	 4.821e-01	 3.574411	5.140e-01	4.852e-01	test
Sox2-hU6@00108	-1.306e+00	 2.231600	1.200e+00	2.918e-01	test
Sox2-hU6@00109	 9.719e-01	 4.482364	2.685e+00	1.237e-01	test
Sox2-hU6@00110	 2.878e-01	 5.408051	5.092e-01	4.872e-01	test
Sox2-hU6@00111	-7.604e-01	 5.523625	3.898e+00	6.847e-02	test
Sox2-hU6@00112	 1.240e-01	 6.004447	1.236e-01	7.305e-01	test
Sox2-hU6@00113	 6.124e-01	 2.565757	4.391e-01	5.184e-01	test
Sox2-hU6@00114	-6.839e-02	 5.656309	3.263e-02	8.593e-01	test
Sox2-hU6@00115	 8.599e-01	 0.963952	2.527e-01	6.230e-01	test
Sox2-hU6@00116	-1.113e+00	 3.667079	3.003e+00	1.051e-01	test
Sox2-hU6@00117	 4.522e-01	 4.802090	1.000e+00	3.343e-01	test
Sox2-hU6@00118	 3.441e-01	 7.120945	1.594e+00	2.275e-01	test
Sox2-hU6@00119	 1.919e-01	 6.800947	3.596e-01	5.584e-01	test
Sox2-hU6@00120	 3.399e-01	 3.846378	2.787e-01	6.058e-01	test
Sox2-hU6@00121	-1.355e-01	 5.136506	1.048e-01	7.510e-01	test
Sox2-hU6@00122	 5.799e-03	 2.804593	3.554e-05	9.953e-01	test
Sox2-hU6@00123	 2.604e-02	 5.737863	4.787e-03	9.458e-01	test
Sox2-hU6@00124	-3.294e-01	 3.865935	3.043e-01	5.899e-01	test
Sox2-hU6@00125	-4.993e-01	 5.916208	1.966e+00	1.827e-01	test
Sox2-hU6@00126	 8.369e-01	 6.784552	4.484e+00	5.358e-02	test
Sox2-hU6@00127	-8.810e-02	 6.258411	6.836e-02	7.976e-01	test
Sox2-hU6@00128	-9.143e-01	 2.275286	7.920e-01	3.886e-01	test
Sox2-hU6@00129	-5.106e-01	 4.189823	8.737e-01	3.658e-01	test
Sox2-hU6@00130	 5.988e-01	 4.986898	1.584e+00	2.289e-01	test
Sox2-hU6@00131	 3.960e-01	 3.497108	2.500e-01	6.248e-01	test
Sox2-hU6@00132	-3.095e+00	 2.115243	4.978e+00	4.259e-02	test
