logFC	logCPM	F	PValue	status
Sox2-hU6@00076	 8.048e-01	 2.458017	5.739e-01	4.606e-01	test
Sox2-hU6@00077	-3.592e-01	 1.090575	8.733e-02	7.717e-01	test
Sox2-hU6@00078	 5.234e-01	 3.107334	5.447e-01	4.719e-01	test
Sox2-hU6@00079	-6.726e-01	 3.600063	1.107e+00	3.096e-01	test
Sox2-hU6@00080	 1.392e-02	 5.873036	1.482e-03	9.698e-01	test
Sox2-hU6@00081	 1.109e+00	 4.736313	2.016e+00	1.847e-01	test
Sox2-hU6@00082	 6.953e-02	 4.792324	3.263e-02	8.591e-01	test
Sox2-hU6@00083	-6.882e-01	 6.102921	5.484e+00	3.344e-02	test
Sox2-hU6@00084	 9.258e-01	 5.410088	3.597e+00	7.798e-02	test
Sox2-hU6@00085	 1.885e-01	 3.322186	8.337e-02	7.767e-01	test
Sox2-hU6@00086	 4.806e-02	 4.736901	1.573e-02	9.019e-01	test
Sox2-hU6@00087	 1.497e-01	 3.933796	5.398e-02	8.195e-01	test
Sox2-hU6@00088	 5.342e-02	 1.336233	1.839e-03	9.664e-01	test
Sox2-hU6@00089	-3.016e-01	 4.397105	3.904e-01	5.415e-01	test
Sox2-hU6@00090	 1.402e+00	 2.869988	3.631e+00	7.609e-02	test
Sox2-hU6@00091	-2.126e-01	 4.991098	2.273e-01	6.405e-01	test
Sox2-hU6@00092	 1.013e+00	 3.377873	2.587e+00	1.286e-01	test
Sox2-hU6@00093	 5.549e-01	 3.800425	9.018e-01	3.574e-01	test
Sox2-hU6@00094	-7.560e-01	 2.743549	1.178e+00	2.949e-01	test
Sox2-hU6@00095	 8.116e-02	 7.489397	1.287e-01	7.248e-01	test
Sox2-hU6@00096	-3.824e-01	 5.516787	1.460e+00	2.456e-01	test
Sox2-hU6@00097	-3.171e-01	 5.002236	7.081e-01	4.133e-01	test
Sox2-hU6@00098	-3.458e-01	 5.908064	1.163e+00	2.978e-01	test
Sox2-hU6@00099	-2.715e-01	 5.553836	6.465e-01	4.340e-01	test
Sox2-hU6@00100	 4.876e-01	 5.575810	1.968e+00	1.811e-01	test
Sox2-hU6@00101	 2.548e-01	 5.059164	4.785e-01	4.997e-01	test
Sox2-hU6@00102	 3.217e-01	 6.734373	1.074e+00	3.166e-01	test
Sox2-hU6@00103	-1.652e-01	 6.512033	3.573e-01	5.589e-01	test
Sox2-hU6@00104	-2.409e-01	 5.002209	3.472e-01	5.645e-01	test
Sox2-hU6@00105	-1.344e-01	 6.373362	2.420e-01	6.299e-01	test
Sox2-hU6@00106	-2.733e-02	 6.573485	1.128e-02	9.168e-01	test
Sox2-hU6@00107	 5.973e-01	 3.713876	1.251e+00	2.810e-01	test
Sox2-hU6@00108	-1.276e+00	 2.001507	1.832e+00	1.960e-01	test
Sox2-hU6@00109	 7.029e-01	 4.400811	1.642e+00	2.197e-01	test
Sox2-hU6@00110	 6.675e-01	 5.711400	3.359e+00	8.681e-02	test
Sox2-hU6@00111	-4.442e-01	 5.550832	1.726e+00	2.087e-01	test
Sox2-hU6@00112	-7.325e-02	 5.871583	5.341e-02	8.204e-01	test
Sox2-hU6@00113	 4.830e-01	 2.546313	4.074e-01	5.329e-01	test
Sox2-hU6@00114	-2.030e-01	 5.535592	3.625e-01	5.562e-01	test
Sox2-hU6@00115	 7.616e-01	 0.967440	3.101e-01	5.858e-01	test
Sox2-hU6@00116	-3.896e-01	 3.840288	5.253e-01	4.798e-01	test
Sox2-hU6@00117	 6.155e-01	 4.972521	2.307e+00	1.496e-01	test
Sox2-hU6@00118	 2.752e-01	 7.106140	1.437e+00	2.493e-01	test
Sox2-hU6@00119	-1.057e-01	 6.611549	1.120e-01	7.425e-01	test
Sox2-hU6@00120	 1.609e-01	 3.754198	7.274e-02	7.911e-01	test
Sox2-hU6@00121	-3.148e-01	 4.979167	7.553e-01	3.985e-01	test
Sox2-hU6@00122	-4.982e-01	 2.473148	3.191e-01	5.805e-01	test
Sox2-hU6@00123	 1.249e-01	 5.787292	1.081e-01	7.468e-01	test
Sox2-hU6@00124	-1.288e-01	 3.911570	7.110e-02	7.934e-01	test
Sox2-hU6@00125	-4.707e-01	 5.826455	2.539e+00	1.320e-01	test
Sox2-hU6@00126	 3.792e-01	 6.549316	6.727e-01	4.289e-01	test
Sox2-hU6@00127	-7.953e-02	 6.226462	8.074e-02	7.802e-01	test
Sox2-hU6@00128	-6.976e-01	 2.205500	7.879e-01	3.888e-01	test
Sox2-hU6@00129	-6.235e-02	 4.355143	1.829e-02	8.942e-01	test
Sox2-hU6@00130	 9.145e-01	 5.303521	3.809e+00	7.016e-02	test
Sox2-hU6@00131	 3.513e-01	 3.507050	2.897e-01	5.983e-01	test
Sox2-hU6@00132	-2.993e+00	 1.679569	7.809e+00	1.363e-02	test
Sox2-hU6@00133	 2.286e-01	 5.593895	3.707e-01	5.517e-01	test
Sox2-hU6@00134	 2.461e-01	 6.566721	8.773e-01	3.638e-01	test
Sox2-hU6@00135	-2.360e-01	 5.646111	4.220e-01	5.258e-01	test
Sox2-hU6@00136	 6.442e-01	 2.397775	6.459e-01	4.342e-01	test
Sox2-hU6@00137	-2.931e-01	 5.593298	8.231e-01	3.786e-01	test
Sox2-hU6@00138	 1.928e+00	 4.177264	2.977e+00	1.204e-01	test
Sox2-hU6@00139	 9.506e-01	 3.471648	1.806e+00	1.991e-01	test
Sox2-hU6@00140	-1.305e-01	 7.435424	2.840e-01	6.019e-01	test
Sox2-hU6@00141	 2.505e-01	 5.706878	4.400e-01	5.172e-01	test
Sox2-hU6@00142	-2.652e-01	 3.714447	2.062e-01	6.562e-01	test
Sox2-hU6@00143	-1.318e-01	 5.032430	1.165e-01	7.377e-01	test
Sox2-hU6@00144	 1.895e-01	 6.232009	5.196e-01	4.821e-01	test
Sox2-hU6@00145	-1.014e+00	 2.832854	1.270e+00	2.776e-01	test
Sox2-hU6@00146	 6.034e-01	 5.685078	2.786e+00	1.159e-01	test
Sox2-hU6@00147	 3.051e-02	 6.645839	1.347e-02	9.092e-01	test
Sox2-hU6@00148	 4.980e-01	 5.858129	2.326e+00	1.481e-01	test
Sox2-hU6@00149	-1.425e-01	 4.766862	1.550e-01	6.994e-01	test
Sox2-hU6@00150	 3.181e-01	 4.333688	3.846e-01	5.445e-01	test
Sox2-hU6@00151	 9.255e-02	 4.053047	3.213e-02	8.601e-01	test
Sox2-hU6@00152	 4.791e-01	 5.244081	1.148e+00	3.011e-01	test
Sox2-hU6@00153	-3.892e-02	 5.446214	1.415e-02	9.069e-01	test
Sox2-hU6@00154	-1.969e-01	 5.255323	3.261e-01	5.765e-01	test
Sox2-hU6@00155	 5.229e-01	 5.519148	1.915e+00	1.867e-01	test
Sox2-hU6@00156	 5.857e-01	 5.841767	3.366e+00	8.650e-02	test
Sox2-hU6@00157	 8.912e-02	 1.281309	4.204e-03	9.492e-01	test
Sox2-hU6@00158	-4.935e-02	 5.007369	1.370e-02	9.084e-01	test
Sox2-hU6@00159	 2.404e-01	 4.461627	3.019e-01	5.908e-01	test
Sox2-hU6@00160	 1.529e+00	 3.209911	3.477e+00	8.207e-02	test
Sox2-hU6@00161	 2.483e-01	 4.554320	3.408e-01	5.681e-01	test
Sox2-hU6@00162	-8.275e-01	 3.816437	2.192e+00	1.594e-01	test
Sox2-hU6@00163	-2.371e-01	 5.099172	4.604e-01	5.078e-01	test
Sox2-hU6@00164	-1.602e-01	 1.852795	2.984e-02	8.652e-01	test
Sox2-hU6@00165	 3.103e-01	 3.936629	3.630e-01	5.559e-01	test
Sox2-hU6@00166	-2.542e-02	 4.812358	3.398e-03	9.543e-01	test
Sox2-hU6@00167	 1.496e+00	 5.175483	6.851e+00	2.054e-02	test
Sox2-hU6@00168	 4.245e-01	 4.189596	5.708e-01	4.617e-01	test
Sox2-hU6@00169	 8.225e-02	 5.238800	4.975e-02	8.265e-01	test
Sox2-hU6@00170	 1.135e+00	 2.518662	1.037e+00	3.251e-01	test
Sox2-hU6@00171	-1.756e-02	 4.563143	1.379e-03	9.709e-01	test
Sox2-hU6@00172	 2.811e-01	 6.430626	7.694e-01	3.943e-01	test
Sox2-hU6@00173	-4.252e-01	 4.901064	1.173e+00	2.959e-01	test
Sox2-hU6@00174	 1.659e-01	 3.369122	4.925e-02	8.274e-01	test
Sox2-hU6@00175	-2.490e-01	 4.993570	4.946e-01	4.927e-01	test
Sox2-hU6@00176	-1.187e-01	 3.669778	3.468e-02	8.548e-01	test
Sox2-hU6@00177	 1.577e-01	 5.312448	8.379e-02	7.768e-01	test
Sox2-hU6@00178	 2.542e-01	 4.187346	2.528e-01	6.224e-01	test
Sox2-hU6@00179	 3.564e-01	 3.427591	3.326e-01	5.727e-01	test
Sox2-hU6@00180	-1.874e-01	 4.886342	1.461e-01	7.077e-01	test
Sox2-hU6@00181	 3.948e-01	 1.714873	1.658e-01	6.896e-01	test
Sox2-hU6@00182	 2.013e-01	 3.891166	1.178e-01	7.362e-01	test
Sox2-hU6@00183	-4.702e-01	 2.274416	3.465e-01	5.649e-01	test
Sox2-hU6@00184	 1.177e+00	 5.356297	1.123e+01	4.381e-03	test
Sox2-hU6@00185	-1.053e-01	 5.427386	9.299e-02	7.646e-01	test
Sox2-hU6@00186	-1.015e+00	 2.667521	2.173e+00	1.611e-01	test
Sox2-hU6@00187	-5.590e-01	 5.408231	2.786e+00	1.159e-01	test
Sox2-hU6@00188	 2.610e-01	 5.864329	5.805e-01	4.579e-01	test
Sox2-hU6@00189	 9.767e-01	 2.834367	1.968e+00	1.811e-01	test
Sox2-hU6@00190	 6.823e-01	 5.873198	1.615e+00	2.279e-01	test
Sox2-hU6@00191	-2.597e-01	 5.306572	6.160e-01	4.448e-01	test
Sox2-hU6@00192	-1.593e-01	 5.652190	2.713e-01	6.101e-01	test
Sox2-hU6@00193	-2.560e-03	 6.963788	1.042e-04	9.920e-01	test
Sox2-hU6@00194	-3.115e-01	 6.714226	1.366e+00	2.608e-01	test
Sox2-hU6@00195	-6.541e-02	 4.857271	2.452e-02	8.777e-01	test
Sox2-hU6@00196	-9.214e-01	 3.256181	2.173e+00	1.612e-01	test
Sox2-hU6@00197	 2.249e-01	 3.787071	1.214e-01	7.324e-01	test
Sox2-hU6@00198	 8.230e-01	 5.416841	4.212e+00	5.806e-02	test
Sox2-hU6@00199	 3.647e-02	 5.305683	6.927e-03	9.348e-01	test
Sox2-hU6@00200	-1.627e-01	 6.327828	3.638e-01	5.554e-01	test
Sox2-hU6@00201	-9.900e-02	 6.369248	1.473e-01	7.066e-01	test
Sox2-hU6@00202	 7.824e-01	 4.068622	1.288e+00	2.751e-01	test
Sox2-hU6@00203	 3.915e-01	 5.303820	1.058e+00	3.200e-01	test
Sox2-hU6@00204	 4.320e-01	 5.024301	1.204e+00	2.899e-01	test
Sox2-hU6@00205	 6.001e-01	 3.688826	1.307e+00	2.708e-01	test
Sox2-hU6@00206	-6.216e-01	 3.844040	8.647e-01	3.675e-01	test
Sox2-hU6@00207	 8.315e-01	 3.541509	2.135e+00	1.646e-01	test
Sox2-hU6@00208	 5.013e-01	 3.630219	9.125e-01	3.546e-01	test
Sox2-hU6@00209	 5.774e-01	 1.458839	2.213e-01	6.448e-01	test
