logFC	logCPM	F	PValue	status
SIN3A@01334	 2.554e+00	 5.307919	8.208e+00	0.020898	test
SIN3A@07932	 1.810e+00	 6.561838	8.188e+00	0.021119	test
SIN3A@02710	-3.319e+00	 3.985068	8.087e+00	0.021267	test
SIN3A@03455	 3.190e+00	 5.324481	8.141e+00	0.021386	test
SIN3A@02378	-2.398e+00	 5.261309	8.049e+00	0.021489	test
SIN3A@11430	-4.299e+00	 3.269433	8.031e+00	0.021594	test
SIN3A@08053	 1.652e+00	 7.276316	8.089e+00	0.021689	test
SIN3A@11980	-2.622e+00	 4.727122	7.971e+00	0.021954	test
SIN3A@10635	-1.521e+00	 6.666042	7.964e+00	0.021994	test
SIN3A@04697	 1.839e+00	 6.095706	7.989e+00	0.022257	test
SIN3A@03268	 3.067e+00	 4.659601	7.923e+00	0.022576	test
SIN3A@07921	 1.695e+00	 7.144387	7.936e+00	0.022611	test
SIN3A@10952	 2.358e+00	 6.657309	7.880e+00	0.022955	test
SIN3A@00002	 4.496e+00	 4.635035	7.843e+00	0.023190	test
SIN3A@07920	 1.850e+00	 6.740638	7.804e+00	0.023444	test
SIN3A@01107	 4.685e+00	 4.422062	7.801e+00	0.023462	test
SIN3A@00618	 2.240e+00	 6.402479	7.795e+00	0.023501	test
SIN3A@07971	 5.330e+00	 4.222933	7.770e+00	0.023664	test
SIN3A@07815	 1.536e+00	 6.851823	7.612e+00	0.024571	test
SIN3A@07847	 1.971e+00	 7.371819	7.541e+00	0.025225	test
SIN3A@05338	-4.807e+00	 2.845567	7.434e+00	0.025524	test
SIN3A@08503	-3.547e+00	 3.568461	7.431e+00	0.025553	test
SIN3A@02125	 1.827e+00	 6.420952	7.443e+00	0.025933	test
SIN3A@11012	-4.191e+00	 3.467373	7.341e+00	0.026550	test
SIN3A@11069	-4.390e+00	 3.574730	7.331e+00	0.026776	test
SIN3A@14348	 3.704e+00	 5.552483	7.243e+00	0.027460	negative
SIN3A@05883	 1.644e+00	 5.848657	7.138e+00	0.027808	test
SIN3A@13742	-5.109e+00	 2.603228	7.137e+00	0.027819	test
SIN3A@03568	 2.207e+00	 6.229066	7.054e+00	0.029002	test
SIN3A@07865	 1.766e+00	 7.044802	6.940e+00	0.029986	test
SIN3A@02891	 2.175e+00	 5.805989	6.914e+00	0.030220	test
SIN3A@06608	 2.252e+00	 5.318990	6.875e+00	0.030330	test
SIN3A@01958	 2.182e+00	 5.158926	6.824e+00	0.030529	test
SIN3A@11624	-2.054e+00	 5.297799	6.777e+00	0.030962	test
SIN3A@04004	 1.865e+00	 5.564594	6.758e+00	0.031140	test
SIN3A@05939	 2.443e+00	 5.263133	6.806e+00	0.031198	test
