logFC	logCPM	F	PValue	status
SIN3A@05215	-2.513e+00	 5.31716	5.116e+00	0.051566	test
SIN3A@12394	-3.275e+00	 4.53570	5.063e+00	0.052582	test
SIN3A@10309	-3.256e+00	 3.66889	5.054e+00	0.052712	test
SIN3A@07870	 4.256e+00	 5.15587	5.071e+00	0.053032	test
SIN3A@10479	 1.876e+00	 6.42562	5.047e+00	0.053478	test
SIN3A@01445	-2.704e+00	 5.10681	4.989e+00	0.053940	test
SIN3A@12422	 2.296e+00	 7.29803	4.980e+00	0.054775	test
SIN3A@00950	 1.945e+00	 6.08981	4.968e+00	0.055002	test
SIN3A@05553	 1.685e+00	 7.12327	4.956e+00	0.055241	test
SIN3A@02155	-3.287e+00	 4.29930	4.915e+00	0.055445	test
SIN3A@05843	 1.741e+00	 7.62830	4.932e+00	0.055718	test
SIN3A@00440	-3.096e+00	 4.68180	4.870e+00	0.056305	test
SIN3A@10976	-3.824e+00	 2.85711	4.900e+00	0.056357	test
SIN3A@03147	-3.300e+00	 3.16731	4.867e+00	0.056367	test
SIN3A@12204	-4.445e+00	 2.65825	4.895e+00	0.056459	test
SIN3A@07468	 4.337e+00	 3.75759	4.892e+00	0.056517	test
SIN3A@08905	-3.237e+00	 4.24805	4.858e+00	0.056557	test
SIN3A@12980	 1.470e+00	 6.08207	4.825e+00	0.057231	test
SIN3A@02330	 1.708e+00	 6.02358	4.852e+00	0.057339	test
SIN3A@06372	 3.092e+00	 5.83672	4.827e+00	0.057853	test
SIN3A@09176	-3.648e+00	 2.99614	4.807e+00	0.058119	test
SIN3A@12654	-1.761e+00	 5.80628	4.780e+00	0.058189	test
SIN3A@01361	-1.377e+00	 6.20079	4.765e+00	0.058506	test
SIN3A@06337	 3.486e+00	 5.99964	4.778e+00	0.058885	test
SIN3A@03358	-3.106e+00	 4.29357	4.742e+00	0.058988	test
SIN3A@01804	 1.685e+00	 6.52184	4.768e+00	0.059099	test
SIN3A@09732	 6.721e+00	 2.69852	4.732e+00	0.059878	test
SIN3A@07848	 1.675e+00	 8.03270	4.724e+00	0.060066	test
SIN3A@13867	-3.181e+00	 3.47045	4.686e+00	0.060224	test
SIN3A@05338	-3.310e+00	 2.88559	4.671e+00	0.060554	test
SIN3A@02831	 1.464e+00	 6.15951	4.669e+00	0.060873	test
SIN3A@01997	 1.357e+00	 6.91762	4.649e+00	0.061118	test
SIN3A@07876	 1.401e+00	 7.22645	4.627e+00	0.061606	test
SIN3A@02827	-3.097e+00	 3.86099	4.598e+00	0.062225	test
SIN3A@14243	-3.414e+00	 2.89907	4.587e+00	0.062539	negative
SIN3A@01093	-3.338e+00	 3.48601	4.550e+00	0.063639	test
SIN3A@00271	-2.064e+00	 5.77580	4.563e+00	0.063716	test
SIN3A@07517	-3.209e+00	 3.07400	4.528e+00	0.063878	test
SIN3A@03160	 3.299e+00	 5.32363	4.555e+00	0.063908	test
SIN3A@08011	 1.828e+00	 7.30105	4.525e+00	0.064618	test
SIN3A@11212	-2.822e+00	 4.84897	4.495e+00	0.064671	test
SIN3A@11826	-2.992e+00	 4.66810	4.475e+00	0.065202	test
SIN3A@07706	 1.634e+00	 6.16647	4.487e+00	0.065538	test
SIN3A@12665	-3.287e+00	 3.37510	4.449e+00	0.065984	test
SIN3A@14379	-3.150e+00	 4.38651	4.417e+00	0.066813	negative
SIN3A@12774	-3.114e+00	 4.64636	4.426e+00	0.066874	test
SIN3A@08335	 1.841e+00	 6.71104	4.428e+00	0.067008	test
SIN3A@07921	 2.180e+00	 7.48609	4.427e+00	0.067026	test
SIN3A@01850	-2.455e+00	 5.17142	4.391e+00	0.067268	test
SIN3A@07852	 2.974e+00	 5.73836	4.411e+00	0.067448	test
SIN3A@08550	 4.288e+00	 0.78479	4.406e+00	0.067570	test
