logFC	logCPM	F	PValue	status
SIN3A@07899	 1.6801076	 5.94188	5.378e+00	0.0426720	test
SIN3A@03406	 3.1201325	 4.32555	5.353e+00	0.0430596	test
SIN3A@07904	 2.3853237	 6.13002	5.346e+00	0.0431672	test
SIN3A@00647	 4.1831202	 2.09756	5.311e+00	0.0432531	test
SIN3A@07851	 2.3754127	 7.23636	5.325e+00	0.0435101	test
SIN3A@12363	-2.5075968	 4.51350	5.314e+00	0.0436904	test
SIN3A@07919	 1.2168973	 7.46591	5.272e+00	0.0438579	test
SIN3A@02556	-2.2917527	 4.06613	5.268e+00	0.0439276	test
SIN3A@01361	-1.1188320	 6.09948	5.261e+00	0.0440418	test
SIN3A@07832	 1.8987211	 6.50598	5.289e+00	0.0440861	test
SIN3A@10635	-1.1131393	 6.56275	5.247e+00	0.0442740	test
SIN3A@07804	 1.7275345	 5.64445	5.242e+00	0.0443485	test
SIN3A@11334	-2.8010532	 3.65480	5.263e+00	0.0445269	test
SIN3A@07706	 1.4889599	 6.28171	5.210e+00	0.0454052	test
SIN3A@02297	-2.6400702	 3.60146	5.178e+00	0.0458667	test
SIN3A@10646	-3.6874062	 2.22931	5.148e+00	0.0464677	test
SIN3A@07849	 1.9473280	 6.61376	5.137e+00	0.0466631	test
SIN3A@07928	 1.2188003	 6.56819	5.110e+00	0.0466912	test
SIN3A@01315	-2.1186330	 4.40003	5.039e+00	0.0479000	test
SIN3A@07920	 1.7626361	 6.88181	5.041e+00	0.0483866	test
SIN3A@07959	 2.8685922	 5.13830	5.005e+00	0.0490492	test
SIN3A@08287	 1.0796455	 6.44660	4.951e+00	0.0495399	test
SIN3A@12927	-2.8120381	 3.64642	4.972e+00	0.0496775	test
SIN3A@08937	 4.9026000	 2.56726	4.964e+00	0.0498241	test
SIN3A@04739	 1.1646577	 6.31485	4.923e+00	0.0500687	test
SIN3A@12903	-3.4409837	 2.85766	4.941e+00	0.0502701	test
SIN3A@08074	 2.6329297	 5.86695	4.935e+00	0.0503904	test
SIN3A@08488	 4.1758789	 4.59208	4.911e+00	0.0508388	test
SIN3A@14464	 3.9566831	10.11536	4.908e+00	0.0509140	pos
