gRNA	XR029	XR030	XR031	XR032	XR033	XR034	XR035	XR036	XR037	XR038	XR039	group
SIN3A@13390	4286	6704	869	488	454	2538	3617	792	1366	7987	2293	test
SIN3A@13391	5667	5532	1363	1363	1814	3866	5732	1607	964	7849	1095	test
SIN3A@13392	506	74	6	6	6	11	0	1	74	1862	275	test
SIN3A@13393	5512	4718	1169	621	685	2586	3848	488	1192	6219	621	test
SIN3A@13394	9140	10926	2471	2157	2848	6167	9969	3748	1540	10555	2224	test
SIN3A@13395	2650	2417	230	43	52	2699	4300	1010	471	5096	1750	test
SIN3A@13396	4137	7325	564	74	92	2885	6972	2057	1569	8576	2687	test
SIN3A@13397	346	612	27	5	13	168	8	876	35	3074	480	test
SIN3A@13398	1695	1044	218	121	55	1020	1283	511	746	1572	1827	test
SIN3A@13399	10086	6772	2657	2983	3432	9421	15353	5518	4167	15966	4272	test
SIN3A@13400	2962	2250	130	54	74	3417	3263	1946	958	1286	1447	test
SIN3A@13401	2544	2535	509	490	544	2649	2315	1681	1322	3635	889	test
SIN3A@13402	16374	14055	4481	4687	5144	12727	12824	3511	2125	15033	4868	test
SIN3A@13403	1235	3088	545	417	398	1412	2814	662	104	7138	250	test
SIN3A@13404	8385	8236	2209	2263	2502	7129	8382	3812	4703	18219	2703	test
SIN3A@13405	4889	4848	702	378	415	3690	7560	1630	2935	2214	2116	test
SIN3A@13406	3001	5837	298	223	387	1624	1007	1371	849	5457	1801	test
SIN3A@13407	11590	7711	3355	3472	4039	10034	11332	1277	2203	10063	3272	test
SIN3A@13408	6376	6970	1364	1642	1785	5287	5651	1080	1957	12250	2078	test
SIN3A@13409	2179	3928	187	95	163	1522	1761	944	564	4033	1397	test
SIN3A@13410	2314	3251	427	98	207	2261	6948	1156	743	6046	1431	test
SIN3A@13411	10246	8845	3203	3052	3759	9791	8119	1903	1986	7794	1742	test
SIN3A@13412	4089	4407	860	952	965	4509	4673	874	971	9671	1645	test
SIN3A@13413	3179	2322	1449	1382	1740	3184	5007	1122	329	6761	1197	test
SIN3A@13414	4240	7469	1085	1108	1179	6258	5862	3292	1228	3371	2476	test
SIN3A@13415	6533	4492	1776	2014	2552	6645	6295	537	609	12979	2266	test
SIN3A@13416	680	1945	217	76	49	1220	1866	389	305	3116	703	test
SIN3A@13417	3817	5825	394	331	314	1537	4345	938	394	3768	1988	test
SIN3A@13418	1979	2564	513	328	392	803	732	451	680	6287	1565	test
SIN3A@13419	4210	6297	1296	1595	1774	6249	6621	2270	1682	11610	865	test
SIN3A@13420	1705	4726	171	41	69	2655	4109	787	4090	12381	2355	test
SIN3A@13421	5792	7210	887	849	999	6443	7328	935	1864	10063	3526	test
SIN3A@13422	2036	6926	355	130	128	1434	3730	886	707	7598	1876	test
SIN3A@13423	8714	4939	2188	2491	2868	5837	4015	642	692	1970	914	test
SIN3A@13424	1403	1525	130	56	38	1352	1773	352	654	4112	377	test
SIN3A@13425	1407	2413	112	29	68	517	3707	1150	491	801	1607	test
SIN3A@13426	4400	5623	534	486	627	3738	5500	888	997	332	1876	test
SIN3A@13427	3084	2569	480	38	23	2466	3749	383	435	16145	1075	test
SIN3A@13428	2127	3691	493	515	717	5484	5631	1202	2845	12116	1281	test
SIN3A@13429	4838	3224	1238	1092	1374	5556	4476	606	836	10625	1886	test
SIN3A@13430	2571	5285	724	371	393	1436	3736	2276	2424	19839	1308	test
