gRNA	XR029	XR030	XR031	XR032	XR033	XR034	XR035	XR036	XR037	XR038	XR039	group
SIN3A@00001	2801	1608	997	967	1315	2735	3350	527	1092	8863	346	test
SIN3A@00002	73	354	40	1	16	140	1388	1644	64	1607	15	test
SIN3A@00003	2557	2027	318	357	352	1166	809	1205	326	389	86	test
SIN3A@00004	4443	4387	1569	1496	1734	4343	2008	2162	3283	6139	986	test
SIN3A@00005	2814	3847	866	920	1003	2799	2547	944	1319	4298	1129	test
SIN3A@00006	3098	3781	1351	1178	1291	5104	4633	1829	2155	15151	1430	test
SIN3A@00007	1873	1429	424	572	620	910	1004	715	468	251	489	test
SIN3A@00008	3085	3690	732	894	1084	2546	1892	1365	1506	2460	1054	test
SIN3A@00009	881	2068	63	70	61	582	1254	562	558	1795	949	test
SIN3A@00010	1433	1501	121	579	317	1630	2331	1345	1253	14013	783	test
SIN3A@00011	1403	3227	443	502	614	2174	5310	1337	625	3958	1740	test
SIN3A@00012	2411	1853	738	952	1032	2881	3100	1012	1709	580	1372	test
SIN3A@00013	8734	8237	2129	2632	3330	9965	7891	765	847	11113	1422	test
SIN3A@00014	6244	5333	1706	2072	2432	5451	9242	4853	1726	4520	2220	test
SIN3A@00015	5102	4848	569	642	569	3043	7683	1880	863	7185	1608	test
SIN3A@00016	8320	6049	3124	3618	4492	8582	5158	1018	1157	8105	1327	test
SIN3A@00017	1607	2997	960	606	691	1543	1235	1772	1271	692	301	test
SIN3A@00018	2097	1894	166	26	41	1532	796	455	288	83	517	test
SIN3A@00019	2137	602	81	39	46	1839	1240	292	354	1635	324	test
SIN3A@00020	3912	5637	1412	1086	1415	3714	6910	495	824	6593	664	test
SIN3A@00021	1295	2158	247	30	163	1100	981	447	574	11851	497	test
SIN3A@00022	382	1200	97	18	37	93	1155	1730	1883	450	654	test
SIN3A@00023	3678	3189	1097	1012	1171	3592	4126	1786	2663	4274	1575	test
SIN3A@00024	2736	1541	845	816	981	2921	4338	593	1050	6600	1731	test
SIN3A@00025	369	78	280	33	53	125	3083	247	487	4898	527	test
SIN3A@00026	5091	4061	1652	2013	2384	5633	2208	934	1816	8419	297	test
SIN3A@00027	4460	2582	1583	1420	1645	6418	5154	1673	2028	18260	2989	test
SIN3A@00028	2158	2377	414	325	345	2107	6351	1836	800	13831	1058	test
SIN3A@00029	4666	5641	763	290	328	2483	2127	1331	891	1519	1637	test
SIN3A@00030	667	1421	385	58	100	479	1246	54	219	295	689	test
SIN3A@00031	2929	3195	579	401	545	2166	6259	602	237	5315	1383	test
SIN3A@00032	8009	5754	1724	1780	2334	5482	7497	834	847	6830	1278	test
SIN3A@00033	6864	6629	2284	1875	2180	6487	9766	2315	1602	9027	2362	test
SIN3A@00034	1374	4552	300	45	89	1276	1872	1126	1517	8099	274	test
SIN3A@00035	826	3103	296	42	12	9	415	783	603	129	1196	test
SIN3A@00036	2433	953	722	863	1010	2470	1347	1016	1076	781	268	test
SIN3A@00037	4908	4586	1262	853	1095	3314	3082	535	987	7971	685	test
SIN3A@00038	640	2400	214	25	36	1119	2509	19	649	1908	108	test
SIN3A@00039	26814	23132	7293	7973	9203	26208	25327	3085	3984	30031	4608	test
SIN3A@00040	4300	3818	1096	1423	1590	2965	1856	117	442	2093	444	test
SIN3A@00041	2106	3833	352	198	268	3438	3798	1172	750	4180	2246	test
SIN3A@00042	2277	2123	954	683	785	2117	2077	476	1387	3926	892	test
SIN3A@00043	2754	4573	482	440	449	3558	4176	1573	924	377	1577	test
SIN3A@00044	1090	1112	389	460	453	839	4045	687	1022	3914	1130	test
SIN3A@00045	4346	7910	907	759	908	4461	4332	1874	1657	3075	1473	test
SIN3A@00046	1839	3845	336	107	198	4110	5376	3454	1730	8047	1021	test
SIN3A@00047	2570	5832	306	80	44	2779	9512	1810	1380	16393	1690	test
SIN3A@00048	2829	3511	293	50	86	1918	6708	530	640	8438	2189	test
SIN3A@00049	3280	2931	1308	1291	1336	3167	1848	919	381	3738	905	test
SIN3A@00050	2277	4370	463	54	94	2586	2850	1287	1532	6169	1445	test
SIN3A@00051	1025	2789	319	31	98	808	1055	117	775	1126	550	test
SIN3A@00052	7174	4863	1440	1358	1680	6858	5485	1770	845	12967	2516	test
SIN3A@00053	1294	1583	67	12	11	45	3106	1429	457	3511	374	test
SIN3A@00054	12395	7646	3381	3258	3848	9530	10481	4308	2384	6172	3472	test
SIN3A@00055	3995	3146	1013	1087	1324	4309	5439	320	804	602	1792	test
SIN3A@00056	9028	8175	2124	1988	2079	8016	14459	1611	2147	17378	6067	test
SIN3A@00057	4462	3651	865	446	663	6541	7239	319	1262	2368	1538	test
SIN3A@00058	7805	10697	2608	2735	3297	8796	10875	3907	1264	6126	3337	test
SIN3A@00059	2083	1399	605	597	645	1406	500	169	328	1618	780	test
SIN3A@00060	13827	12598	4694	5097	5942	13399	15825	2156	4219	16658	4926	test
SIN3A@00061	2545	1269	118	37	5	1137	4107	1782	1437	396	619	test
SIN3A@00062	3602	1648	1376	1126	1356	3111	2203	1070	608	460	1201	test
SIN3A@00063	9232	5465	2800	3192	3766	7918	4733	1694	1787	17826	3295	test
SIN3A@00064	7134	4272	2495	2321	2657	5759	6104	2049	1084	5910	1806	test
SIN3A@00065	5032	5071	1592	1404	1671	5387	6290	641	2648	9247	1730	test
SIN3A@00066	3600	8206	1003	728	762	6146	4146	1173	5013	27865	1356	test
SIN3A@00067	3777	3475	1110	982	888	1978	3998	1777	2047	5200	2192	test
SIN3A@00068	8007	1839	2260	2798	3230	7023	3449	712	434	1101	756	test
SIN3A@00069	1254	1865	298	367	486	1886	1682	428	207	3864	1363	test
SIN3A@00070	295	624	142	15	3	237	1094	308	228	71	136	test
SIN3A@00071	2683	4470	151	119	75	644	4536	576	839	386	965	test
SIN3A@00072	9982	14284	2651	2888	3015	12748	12187	2457	2240	25307	3317	test
SIN3A@00073	6963	5764	1866	2133	2593	6721	3747	2082	686	4280	1532	test
SIN3A@00074	6280	2919	1852	2083	2357	5872	4475	2067	1020	5125	922	test
SIN3A@00075	3839	4043	778	900	894	3463	2382	1125	1449	9074	600	test
SIN3A@00076	4459	6195	1277	843	878	4082	7645	980	1123	4682	3178	test
SIN3A@00077	5032	10511	845	642	686	4007	8591	4433	3713	16026	2348	test
SIN3A@00078	2751	2555	366	78	70	1831	5549	1016	1126	8848	1758	test
SIN3A@00079	5843	5772	1998	1702	1884	5157	2903	1065	1801	3878	1782	test
SIN3A@00080	1050	1411	360	48	73	2342	4706	994	3395	4267	1289	test
SIN3A@00081	7249	7305	1903	1474	1693	8051	8919	3229	1862	14782	3201	test
SIN3A@00082	3088	4870	538	284	250	5436	3824	1140	1962	1937	2096	test
SIN3A@00083	5559	6134	662	329	337	4548	9296	1851	1652	18684	2250	test
SIN3A@00084	4215	5364	1324	1460	1754	6441	10807	3330	2275	18371	2705	test
SIN3A@00085	5726	2682	1753	1866	2454	5428	6821	1199	1178	3364	1916	test
SIN3A@00086	2100	3906	185	72	151	1420	3406	41	149	162	350	test
SIN3A@00087	2263	5823	256	19	17	542	3049	431	360	3396	578	test
SIN3A@00088	11816	8538	3635	3600	4531	11730	11027	1712	2479	13068	3759	test
SIN3A@00089	844	1791	178	43	72	1640	811	786	1638	1689	1457	test
SIN3A@00090	919	879	142	11	43	6	461	1	11	9	0	test
SIN3A@00091	9240	5547	2630	3020	3622	9370	8106	2863	3206	8680	2265	test
SIN3A@00092	1808	1754	333	42	47	2205	7844	1338	1071	3609	2419	test
SIN3A@00093	1194	1877	136	122	27	1048	1931	1412	786	4660	903	test
SIN3A@00094	305	338	82	11	22	99	895	491	172	2830	207	test
SIN3A@00095	6513	5025	1466	1535	1837	4155	2733	672	391	4285	1248	test
SIN3A@00096	2852	3094	648	593	736	1893	4527	1441	1843	13818	1619	test
SIN3A@00097	4989	2772	1884	2234	2732	4885	2462	442	187	3019	333	test
SIN3A@00098	3909	2801	474	459	469	2397	4142	2753	1253	1930	981	test
SIN3A@00099	1180	1592	340	343	370	1161	756	647	417	3247	270	test
SIN3A@00100	13151	7883	3448	3709	4566	11947	6458	1326	1267	9971	2186	test
SIN3A@00101	437	1252	138	152	170	861	341	15	920	373	547	test
SIN3A@00102	1337	829	399	437	540	1310	2034	348	810	279	1910	test
SIN3A@00103	3346	1962	1030	647	809	2345	1061	810	271	2701	649	test
SIN3A@00104	1208	1979	156	28	15	464	1991	629	1074	1291	349	test
SIN3A@00105	3991	4414	1199	1252	1487	2950	6459	271	697	3615	852	test
SIN3A@00106	4871	3277	1717	1085	1297	2694	3908	968	245	602	631	test
SIN3A@00107	2849	4358	181	30	11	1522	1264	1544	2310	5020	517	test
SIN3A@00108	2360	1492	639	761	962	2459	3029	177	248	1898	725	test
SIN3A@00109	3097	5873	367	34	59	2759	6846	2395	921	7364	3273	test
SIN3A@00110	889	1128	157	20	31	488	3417	1681	997	3429	634	test
SIN3A@00111	3263	3002	496	423	534	4495	4005	495	1083	5204	1600	test
SIN3A@00112	7234	7320	2548	2458	2766	5245	2978	1725	2881	3142	1682	test
SIN3A@00113	2386	2555	113	43	99	588	3832	1337	292	192	1893	test
SIN3A@00114	1846	2001	486	407	374	997	414	104	533	2033	29	test
SIN3A@00115	2401	2901	402	309	350	2468	2460	354	834	2847	1451	test
SIN3A@00116	1805	2726	122	102	352	1663	281	61	812	2194	391	test
SIN3A@00117	352	524	45	29	60	778	1682	1254	520	220	307	test
SIN3A@00118	223	1029	205	58	26	911	1656	308	313	102	650	test
SIN3A@00119	2106	2728	668	804	1049	2119	2725	201	1009	1350	1034	test
SIN3A@00120	1147	3390	112	40	34	1480	1534	1028	366	1016	740	test
SIN3A@00121	296	1970	83	11	15	535	2071	637	446	776	326	test
SIN3A@00122	900	2125	184	48	3	1976	3552	1706	984	6430	1249	test
SIN3A@00123	3956	3850	1392	1240	1520	2928	4165	538	2048	4215	670	test
SIN3A@00124	2679	3188	577	579	679	2405	3446	885	443	6930	1016	test
SIN3A@00125	7343	7874	1193	1010	954	5713	3768	2643	2994	4709	2113	test
SIN3A@00126	6774	6801	1570	1145	1151	4051	6484	1027	2961	14571	2206	test
SIN3A@00127	2526	2562	931	493	618	3143	1861	740	264	969	703	test
SIN3A@00128	3253	4855	1256	1037	1141	4450	3828	421	771	3775	1474	test
SIN3A@00129	4779	3522	764	974	1059	3411	5413	898	780	7292	1315	test
SIN3A@00130	3441	4075	940	854	995	7493	3514	1926	2059	6825	2483	test
SIN3A@00131	5033	6250	306	146	174	2702	15094	4057	3757	9650	2271	test
SIN3A@00132	3402	3775	1465	1583	1866	5537	6183	1351	595	1888	1498	test
SIN3A@00133	6082	4285	1978	2070	2154	5287	3953	815	1311	5678	1755	test
SIN3A@00134	1178	3068	421	53	32	1062	3080	376	1027	5023	1408	test
SIN3A@00135	3471	4755	1579	1288	1409	2603	4145	1011	795	2614	870	test
SIN3A@00136	1945	2765	413	555	661	2577	540	553	306	2517	634	test
SIN3A@00137	1900	2354	270	37	47	1953	1931	971	247	895	1074	test
SIN3A@00138	2697	5702	834	556	647	1538	2504	1409	1250	3847	447	test
SIN3A@00139	1856	1337	301	357	474	2429	2493	1695	1118	8143	1132	test
SIN3A@00140	6635	5599	1590	1445	1779	8921	9219	2340	1357	13317	2480	test
SIN3A@00141	3475	5755	386	128	116	1757	7783	1861	740	5934	2174	test
SIN3A@00142	3614	1208	1089	892	1196	4982	1710	1291	1132	1840	630	test
SIN3A@00143	2569	1890	940	976	1266	2110	1599	66	346	1790	228	test
SIN3A@00144	1748	1543	308	37	51	2403	3788	568	466	1748	755	test
SIN3A@00145	4259	5433	1086	1155	1415	3793	5511	1211	535	4298	984	test
SIN3A@00146	3168	2949	454	589	825	2216	3570	1143	1086	4170	622	test
SIN3A@00147	1686	3319	173	166	196	1121	2836	146	679	3596	400	test
SIN3A@00148	574	4116	103	23	20	1465	1348	753	254	4441	515	test
SIN3A@00149	17859	12002	5004	5855	6744	16792	15590	3398	2432	17855	3008	test
SIN3A@00150	12407	8293	3004	3181	3747	8727	6857	2047	1558	5667	2019	test
SIN3A@00151	1006	1849	172	88	32	429	1724	618	703	11530	280	test
SIN3A@00152	3494	2836	1012	1248	1486	3347	2361	1779	1025	2359	548	test
SIN3A@00153	5108	3517	1130	1542	1577	2763	4644	991	1544	11168	822	test
SIN3A@00154	6338	5064	1922	2194	2380	8003	5382	2808	550	10374	2463	test
SIN3A@00155	903	1241	268	73	45	882	1197	150	960	1435	568	test
SIN3A@00156	3670	4632	589	561	577	2068	1044	1269	1325	5064	418	test
SIN3A@00157	6127	3249	1962	2125	2664	5485	5772	1442	1537	12178	1672	test
SIN3A@00158	2947	897	945	1031	1258	2237	4063	827	927	513	658	test
SIN3A@00159	4488	5945	1409	910	963	2984	2059	4684	2300	1028	950	test
SIN3A@00160	9588	4079	3195	3732	4290	8821	6834	1570	3601	8800	1482	test
SIN3A@00161	1183	1762	273	65	103	1855	870	310	1724	1450	242	test
SIN3A@00162	3316	1449	968	1151	1259	3253	4839	2807	696	6531	1204	test
SIN3A@00163	4969	8402	1138	759	823	4604	8241	826	2112	6580	2516	test
SIN3A@00164	5061	2868	1441	1774	2080	4968	6444	1488	1217	3834	1472	test
SIN3A@00165	2360	2310	179	36	187	1547	326	463	715	169	442	test
SIN3A@00166	485	1015	32	12	22	1284	1237	797	47	91	720	test
SIN3A@00167	3100	1034	755	997	1136	2675	1996	222	90	670	180	test
SIN3A@00168	3999	2049	1223	999	1234	2397	3062	897	1351	2754	806	test
SIN3A@00169	953	1377	419	484	576	2019	1733	1182	1510	523	436	test
SIN3A@00170	4916	2724	1429	1787	2261	5002	3364	699	311	8259	805	test
SIN3A@00171	695	1935	157	28	90	1778	863	2834	185	1887	275	test
SIN3A@00172	1839	3262	437	407	441	1916	1049	318	415	1343	742	test
SIN3A@00173	5704	4834	2040	2351	2682	5999	4923	2319	2217	4984	682	test
SIN3A@00174	1662	1892	103	67	63	3136	3973	430	519	1755	831	test
SIN3A@00175	401	420	42	30	43	700	1581	615	1655	4614	479	test
SIN3A@00176	4931	4183	1112	869	1001	5178	6662	1207	926	17297	1219	test
SIN3A@00177	1320	2866	139	109	121	790	2520	814	735	1880	746	test
SIN3A@00178	1915	2662	564	390	442	3297	4375	1557	1454	14447	2410	test
SIN3A@00179	232	714	28	38	44	1701	506	143	173	198	245	test
SIN3A@00180	1191	1703	169	52	60	1488	1869	937	1424	4711	1091	test
SIN3A@00181	377	719	11	25	0	477	8	569	631	169	332	test
SIN3A@00182	4921	3201	1353	935	1195	7752	6843	1721	2144	11547	1780	test
SIN3A@00183	1425	1411	181	103	34	1525	6103	98	613	2721	1433	test
SIN3A@00184	2294	5008	249	125	122	2068	3876	1061	2659	15465	3381	test
SIN3A@00185	1287	861	193	30	49	2280	2751	489	2997	9754	1122	test
SIN3A@00186	1759	1072	245	104	72	1738	2532	384	866	503	711	test
SIN3A@00187	9114	8654	2287	2556	2991	11592	10417	3875	2473	9858	4787	test
SIN3A@00188	11613	6762	2143	2012	2288	7581	8247	913	973	10084	1783	test
SIN3A@00189	16122	10469	4554	4088	5081	12692	11825	3015	2876	10263	4466	test
SIN3A@00190	1073	2150	408	103	66	2175	3284	1361	414	309	771	test
SIN3A@00191	2842	3238	973	1002	1232	2894	2440	878	477	2206	535	test
SIN3A@00192	5712	2211	888	531	528	5044	5249	1182	1578	7344	1583	test
SIN3A@00193	6013	5989	1688	1697	1826	4032	4326	1876	1154	3150	2078	test
SIN3A@00194	12547	5797	3833	4804	5615	12780	8704	1491	1274	1737	2376	test
SIN3A@00195	4749	2366	1345	1853	2194	4910	3076	459	751	1567	616	test
SIN3A@00196	15674	4912	4642	5702	6890	17562	12457	3033	2013	2511	2279	test
SIN3A@00197	6172	4265	1940	2248	2619	5557	5449	1080	593	4398	1690	test
SIN3A@00198	3269	2724	895	902	1104	2453	3919	579	857	8375	1748	test
SIN3A@00199	1642	2955	700	481	578	3201	1714	725	1934	2197	1929	test
SIN3A@00200	894	1494	149	21	4	130	1110	56	124	1364	418	test
SIN3A@00201	3459	2183	728	773	825	5459	5085	1695	2226	1264	1854	test
SIN3A@00202	3550	2595	758	830	1199	2310	3898	262	930	2273	634	test
SIN3A@00203	1845	3099	756	619	833	4874	880	1245	421	2087	1018	test
SIN3A@00204	1646	3362	191	106	75	1186	2573	836	1379	4220	895	test
SIN3A@00205	2616	5327	458	127	29	1244	7667	3256	890	416	821	test
SIN3A@00206	570	538	233	287	279	1537	369	90	35	96	327	test
SIN3A@00207	2657	2427	562	534	638	2002	2182	297	472	293	871	test
SIN3A@00208	4847	1364	1655	1962	2406	5018	3584	1361	799	6995	476	test
SIN3A@00209	1397	2507	135	70	66	1543	1200	358	223	11491	492	test
SIN3A@00210	1735	3883	304	116	178	1299	1759	1018	2110	3107	1557	test
SIN3A@00211	8785	11022	2771	3133	3690	9931	9635	972	954	8285	2384	test
SIN3A@00212	494	2118	286	59	123	123	21	416	50	70	449	test
SIN3A@00213	7162	5750	1751	1695	1988	6684	9230	7255	4579	12191	3102	test
SIN3A@00214	3378	5065	1408	1046	1150	2866	5570	572	418	4455	656	test
SIN3A@00215	1287	1701	126	36	18	881	1354	692	253	165	143	test
SIN3A@00216	533	2125	260	54	6	2054	1159	1150	1797	2099	1929	test
SIN3A@00217	1681	4093	730	534	557	3661	3081	1246	2145	7654	1135	test
SIN3A@00218	2325	2229	884	842	1041	2541	2152	940	576	6101	542	test
SIN3A@00219	3195	3729	1193	1050	1215	5488	4451	972	1360	789	1433	test
SIN3A@00220	4332	4837	1141	1055	1191	4370	4531	2228	2115	6864	1886	test
SIN3A@00221	11075	5264	3014	3837	4457	10551	3745	609	712	1317	678	test
SIN3A@00222	7713	5416	2189	2638	3042	6750	5296	1819	1290	1228	1240	test
SIN3A@00223	694	1784	515	28	60	3989	2888	713	904	296	1443	test
SIN3A@00224	1109	580	132	20	21	357	489	1515	1343	307	437	test
SIN3A@00225	3057	2564	923	1117	1241	2708	4918	1154	1534	9656	1168	test
SIN3A@00226	1243	3064	473	143	172	1144	603	541	759	2268	683	test
SIN3A@00227	3089	4634	676	145	131	5023	7317	4343	1763	12962	1771	test
SIN3A@00228	1389	3151	86	40	61	248	1071	1078	1215	278	531	test
SIN3A@00229	2538	3249	583	261	339	1374	3974	672	349	2784	1051	test
SIN3A@00230	3433	1975	93	87	54	2276	2562	2410	3606	11356	3573	test
SIN3A@00231	4911	2650	1646	1932	2119	6247	3634	1000	330	9777	108	test
SIN3A@00232	1625	2020	124	36	40	1998	3225	1435	1527	6019	755	test
SIN3A@00233	993	508	130	58	106	1400	1787	1333	178	2956	807	test
SIN3A@00234	4975	4202	341	183	256	1703	4056	1598	1968	4340	1701	test
SIN3A@00235	8772	10554	1985	2190	2808	9184	10533	1241	2202	6742	1428	test
SIN3A@00236	9893	5199	2500	2534	2796	9344	11864	2839	1912	13887	2796	test
SIN3A@00237	2559	2103	773	1003	1210	2789	2537	566	512	503	285	test
SIN3A@00238	9872	4284	3024	2881	3367	7952	3889	1816	2046	3359	1993	test
SIN3A@00239	4102	4601	1786	1692	2003	3993	3243	1229	1520	8857	395	test
SIN3A@00240	3112	3829	540	576	571	5339	2387	612	1109	4694	1265	test
SIN3A@00241	3445	1422	595	728	755	2837	1775	1056	2158	2641	1150	test
SIN3A@00242	6530	7502	1983	1955	2362	7877	10035	3014	1373	3345	2056	test
SIN3A@00243	1685	1041	365	246	235	3099	643	484	753	6390	1626	test
SIN3A@00244	678	1237	86	21	14	59	1341	120	78	825	1093	test
SIN3A@00245	503	3075	85	34	85	654	1991	867	72	1227	634	test
SIN3A@00246	9036	6390	2984	3062	3976	9941	4558	1761	1453	6146	3166	test
SIN3A@00247	5246	5276	988	1098	1268	5095	8094	1379	1495	12538	2662	test
SIN3A@00248	3412	1816	1271	1415	1586	3965	2683	515	461	1553	624	test
SIN3A@00249	2859	6880	717	92	183	2421	4227	2407	4436	5968	2190	test
SIN3A@00250	3307	3084	930	478	585	2307	3453	1286	1216	6775	1466	test
SIN3A@00251	6706	5906	1230	1203	1422	4910	6706	1930	1002	6326	1074	test
SIN3A@00252	3537	4960	1126	778	1021	2543	2984	358	2150	1269	2849	test
SIN3A@00253	4896	4283	1296	1207	1390	3274	4436	4056	1967	2548	2375	test
SIN3A@00254	5578	2638	2139	2437	2741	6600	4454	1289	1905	2560	1220	test
SIN3A@00255	2464	1906	827	969	1102	2689	2171	567	2185	4643	1916	test
SIN3A@00256	6140	2969	1629	1724	2174	4969	3664	3233	2158	1872	581	test
SIN3A@00257	11433	8633	3572	4508	5249	10563	6935	2272	796	19874	2033	test
SIN3A@00258	1229	2713	485	388	389	2729	1865	49	459	3698	2028	test
SIN3A@00259	1412	2667	104	66	11	264	531	1133	396	2964	923	test
SIN3A@00260	3864	6238	399	148	194	1077	4054	1758	4551	5251	2252	test
SIN3A@00261	3324	4237	776	827	901	4444	4285	1308	485	1157	936	test
SIN3A@00262	4705	2281	434	121	147	3235	8171	2417	2364	5283	1564	test
SIN3A@00263	517	1695	97	24	42	952	1386	1798	1178	3311	415	test
SIN3A@00264	333	2282	88	23	17	1267	1359	5	543	234	567	test
SIN3A@00265	4231	7346	1437	976	1166	5295	4615	869	1581	10497	1342	test
SIN3A@00266	4585	5649	1190	1356	1627	4469	4383	1191	614	9883	1498	test
SIN3A@00267	527	1520	17	35	2	471	9	0	436	103	405	test
SIN3A@00268	8789	9762	2598	2870	3186	8590	5433	4185	1640	14589	2730	test
SIN3A@00269	5222	6379	1152	389	380	6020	9738	3073	2948	7641	1523	test
SIN3A@00270	2187	2136	1202	734	1002	2733	1858	825	717	2389	1118	test
SIN3A@00271	6974	9298	456	121	102	2552	11033	1432	568	6414	2823	test
SIN3A@00272	2201	2283	540	496	632	4704	4266	1218	376	2080	952	test
SIN3A@00273	3070	4274	684	192	105	2473	6136	998	908	9875	3747	test
SIN3A@00274	4826	4046	1342	1851	2237	5856	5835	1798	1091	5430	1624	test
SIN3A@00275	544	1757	112	50	99	1030	1187	362	1048	2074	794	test
SIN3A@00276	667	1735	103	9	4	106	1770	728	369	85	1302	test
SIN3A@00277	1209	1935	279	47	78	363	1607	368	1028	3415	1063	test
SIN3A@00278	871	1487	268	65	22	1439	1668	200	396	1562	741	test
SIN3A@00279	2356	2159	541	743	865	1898	1767	617	110	521	804	test
SIN3A@00280	6745	3187	2078	2701	3237	8487	5784	1465	447	7015	2647	test
SIN3A@00281	1078	770	385	54	57	866	1186	859	596	233	733	test
SIN3A@00282	1706	1160	267	84	43	2446	6910	551	1757	2860	1583	test
SIN3A@00283	3008	3413	803	374	461	2542	2355	693	1271	2025	1507	test
SIN3A@00284	3885	2395	1109	983	1395	3810	5067	2908	1280	1816	514	test
SIN3A@00285	2492	4703	276	39	85	2495	8223	1517	1657	7537	2267	test
SIN3A@00286	3835	2370	1311	1467	1700	3317	3398	277	590	4208	168	test
SIN3A@00287	1226	1716	175	56	162	1798	1958	2047	3859	6898	1383	test
SIN3A@00288	4744	3265	1366	1523	1848	5057	4637	668	1127	3501	344	test
SIN3A@00289	2197	2440	172	23	79	1312	2463	984	1342	5195	1090	test
SIN3A@00290	4726	3654	1320	1314	1558	5528	6384	1425	2335	2546	2004	test
SIN3A@00291	3124	5764	1335	1211	1287	3616	5999	1769	1227	8735	1415	test
SIN3A@00292	432	570	134	5	51	2126	582	569	23	7420	75	test
SIN3A@00293	1729	800	101	33	161	1143	438	481	324	3964	446	test
SIN3A@00294	2025	2722	704	648	721	2518	2119	941	168	9164	285	test
SIN3A@00295	3909	1675	1618	1433	1603	3880	3116	253	197	486	1280	test
SIN3A@00296	9961	3663	3794	4694	5369	10371	4921	916	706	12148	725	test
SIN3A@00297	6781	7791	2104	2050	2396	9539	6342	3030	1663	7030	3091	test
SIN3A@00298	4140	2341	641	524	473	2679	5831	1885	1264	13042	1082	test
SIN3A@00299	1844	2783	290	40	38	488	3357	447	246	4206	1006	test
SIN3A@00300	3203	2435	206	85	47	97	1740	673	1203	8158	1059	test
SIN3A@00301	5320	3893	1598	1875	2195	3909	3362	862	770	2009	638	test
SIN3A@00302	4221	3018	913	1004	1286	2862	2041	333	480	3090	797	test
SIN3A@00303	528	1090	28	12	20	267	519	3	409	66	2	test
SIN3A@00304	6170	3633	1974	2317	2942	7429	4438	1704	5186	2315	1130	test
SIN3A@00305	285	121	45	69	94	1825	2934	322	136	237	179	test
SIN3A@00306	3791	2341	1109	1106	1312	3199	1753	479	482	1328	855	test
SIN3A@00307	1073	1833	255	62	45	3115	3543	279	818	2861	2016	test
SIN3A@00308	735	2291	456	254	344	1931	3563	819	1370	9348	648	test
SIN3A@00309	11411	8310	3844	4600	5359	12724	9246	3745	1779	4336	1706	test
SIN3A@00310	3963	1667	840	937	1192	2611	3115	1602	1319	1324	541	test
SIN3A@00311	3068	2995	261	156	151	2464	1666	513	2923	3229	1618	test
SIN3A@00312	1988	1542	443	598	594	1045	2667	798	274	1122	478	test
SIN3A@00313	4324	4324	678	504	629	2607	5172	2691	2798	10125	1702	test
SIN3A@00314	6640	3704	1475	1553	1967	6314	2447	749	666	7678	1336	test
SIN3A@00315	3530	2370	636	611	689	2490	2562	2033	783	3940	1078	test
SIN3A@00316	826	596	3	2	17	0	3	1	71	92	69	test
SIN3A@00317	927	1085	299	73	135	1208	2900	781	424	1767	862	test
SIN3A@00318	5296	2628	1632	2039	2532	4378	2414	355	197	715	569	test
SIN3A@00319	8844	9093	2908	3292	4005	9675	3911	1044	586	1200	1324	test
SIN3A@00320	1080	2126	178	46	138	501	1167	894	409	6038	551	test
SIN3A@00321	2851	3347	1129	976	1072	4761	7371	1171	1158	9737	3185	test
SIN3A@00322	3088	1536	188	69	48	549	2289	623	1123	4474	2168	test
SIN3A@00323	6695	5407	2286	2725	3166	6574	5031	2958	1302	1270	878	test
SIN3A@00324	1001	2243	236	56	180	247	1989	1692	494	2633	1446	test
SIN3A@00325	2281	780	54	39	1	696	4917	829	469	7127	500	test
SIN3A@00326	5881	3147	1531	1519	1939	5991	5012	1896	1114	3431	1613	test
SIN3A@00327	3418	2758	1283	1414	1602	4256	4685	1645	2314	8280	683	test
SIN3A@00328	7806	5805	2650	3015	3371	7428	5819	1290	2837	11000	3023	test
SIN3A@00329	4507	1815	1544	1755	2280	4552	4720	354	893	5304	662	test
SIN3A@00330	552	596	282	54	38	867	6780	2065	2751	556	818	test
SIN3A@00331	5396	4128	1514	1650	2028	5740	3457	1103	823	3000	867	test
SIN3A@00332	2035	1875	163	40	53	780	1429	164	356	3014	867	test
SIN3A@00333	2765	3074	92	32	35	1638	6277	3862	1570	8697	913	test
SIN3A@00334	5182	6310	1426	1353	1516	3889	5795	1715	545	3243	1942	test
SIN3A@00335	6962	3779	1610	1720	1975	5255	7400	655	1700	11451	2556	test
SIN3A@00336	5842	4312	1524	1493	1781	5616	3277	329	1411	1582	685	test
SIN3A@00337	744	2062	68	8	33	1386	2045	163	457	7837	140	test
SIN3A@00338	6440	4798	1765	1856	2428	5861	6063	1200	3228	8871	1291	test
SIN3A@00339	569	1737	1057	81	62	483	4411	454	866	10306	1658	test
SIN3A@00340	1255	3429	307	117	114	2492	2286	491	343	4057	1468	test
SIN3A@00341	641	1690	86	114	12	839	1350	77	1659	420	1285	test
SIN3A@00342	925	1974	208	47	77	1869	2140	1601	627	9457	1939	test
SIN3A@00343	3520	4561	1228	900	1084	4297	3803	530	849	3718	1082	test
SIN3A@00344	4914	1816	1277	1482	1774	4101	5108	1183	463	2069	795	test
SIN3A@00345	1428	3372	359	391	592	1475	2294	1008	1950	4733	385	test
SIN3A@00346	268	1344	43	36	22	1434	2711	1552	829	7888	166	test
SIN3A@00347	8999	6240	3357	3342	3689	10656	5855	1069	1214	14296	2457	test
