oligo	XR043	XR044	XR045	XR046	XR050	XR051	XR052	XR054	group
SIN3A@03745	95	82	47	24	290	173	140	258	test
SIN3A@03746	175	107	66	38	353	146	486	261	test
SIN3A@03747	170	110	9	35	874	555	660	744	test
SIN3A@03748	650	156	401	280	496	267	358	1618	test
SIN3A@03749	533	253	7	104	181	122	362	1232	test
SIN3A@03750	190	156	1498	884	1689	821	1073	3127	test
SIN3A@03751	64	0	0	0	757	304	2001	1386	test
SIN3A@03752	0	0	72	0	30	33	0	0	test
SIN3A@03753	334	373	933	577	533	267	908	262	test
SIN3A@03754	82	93	0	0	966	373	549	416	test
SIN3A@03755	173	95	12	6	108	43	23	33	test
SIN3A@03756	171	129	0	0	251	151	39	784	test
SIN3A@03757	88	0	59	0	298	69	95	0	test
SIN3A@03758	247	169	442	281	762	453	724	741	test
SIN3A@03759	622	584	34	227	638	338	574	608	test
SIN3A@03760	747	922	565	870	619	390	765	903	test
SIN3A@03761	104	81	4	35	242	74	0	169	test
SIN3A@03762	79	17	0	0	22	24	0	0	test
SIN3A@03763	1367	503	250	990	291	181	570	153	test
SIN3A@03764	192	94	997	572	162	51	0	1	test
SIN3A@03765	311	176	1253	627	470	211	126	287	test
SIN3A@03766	1476	523	239	299	255	180	108	470	test
SIN3A@03767	329	214	65	83	470	133	119	290	test
SIN3A@03768	942	759	997	818	373	183	963	100	test
SIN3A@03769	446	454	975	740	547	318	366	498	test
SIN3A@03770	57	99	4	66	0	4	2	1	test
SIN3A@03771	386	0	0	22	116	62	253	2	test
SIN3A@03772	186	62	70	39	421	221	95	118	test
SIN3A@03773	508	336	129	503	1355	284	461	679	test
SIN3A@03774	212	150	1039	1020	780	403	1102	967	test
SIN3A@03775	0	1	0	0	19	5	0	0	test
SIN3A@03776	144	92	9	66	293	138	56	125	test
SIN3A@03777	826	563	994	728	758	359	540	1149	test
SIN3A@03778	615	316	1916	767	76	75	0	0	test
SIN3A@03779	381	606	18	405	53	60	1	1	test
SIN3A@03780	279	250	2	37	94	63	1	236	test
SIN3A@03781	161	41	0	52	206	120	71	171	test
SIN3A@03782	166	141	1021	1035	100	29	0	0	test
SIN3A@03783	172	104	0	0	0	0	144	2	test
SIN3A@03784	297	112	0	2	1076	376	213	654	test
SIN3A@03785	286	76	63	0	106	31	1295	357	test
SIN3A@03786	115	57	534	308	181	59	103	70	test
SIN3A@03787	67	91	0	0	48	32	0	77	test
SIN3A@03788	1195	1170	875	1017	2174	1020	3470	2145	test
SIN3A@03789	458	351	23	218	221	145	374	1985	test
SIN3A@03790	0	85	0	40	53	32	0	327	test
SIN3A@03791	544	282	2046	1249	440	257	424	387	test
SIN3A@03792	208	48	9	0	321	150	56	565	test
SIN3A@03793	585	797	1093	1015	594	217	437	2228	test
SIN3A@03794	944	682	1949	1111	405	208	246	770	test
SIN3A@03795	168	201	17	242	632	203	123	532	test
SIN3A@03796	404	295	151	149	287	95	823	233	test
SIN3A@03797	90	230	1	0	634	255	451	288	test
SIN3A@03798	208	157	91	43	449	226	386	576	test
SIN3A@03799	1020	1320	27	738	4797	783	422	1249	test
SIN3A@03800	0	0	1	0	0	0	0	0	test
SIN3A@03801	402	512	36	226	923	323	1132	1653	test
SIN3A@03802	173	124	472	277	548	249	917	395	test
SIN3A@03803	711	544	1740	1093	1008	451	479	327	test
SIN3A@03804	436	349	705	407	1334	496	835	528	test
SIN3A@03805	53	5	23	1	682	200	506	367	test
SIN3A@03806	369	392	74	208	900	261	432	699	test
SIN3A@03807	334	397	1354	1381	165	75	436	100	test
SIN3A@03808	292	282	56	370	466	251	283	121	test
SIN3A@03809	378	126	30	0	211	94	0	621	test
SIN3A@03810	373	285	18	230	26	17	3	5	test
SIN3A@03811	385	199	991	522	334	218	336	299	test
SIN3A@03812	1	1	0	0	0	0	1	1	test
